benchmark_id,organization,address,city,website,predicted_phone,reference_phone,match_category,confidence_tier,verification_status,how_verified
28d9c6412edc3407,Rapid Access Addiction Medicine (RAAM) Clinic - Michael Garron Hospital,"Toronto, ON, M4C 3E7",Toronto,,Monday: 9:00 – 11:00 AM | Tuesday: 9:00 – 11:00 AM | Wednesday: 9:00 – 11:00 AM | Thursday: 1:00 – 3:00 PM | Friday: 1:00 – 3:00 PM | Saturday: Closed | Sunday: Closed,416-469-6580 ext. 2517,different_number_or_area_code,needs_manual_verification,unresolved,
c78bd4b3c34dc910,EHN Guardians Atlantic,"610 Myers Point Rd, Head of Jeddore, Nova Scotia B0J 1P0, Canada",Head of Jeddore,,(902) 706-8205,1-866-938-6492,different_number_or_area_code,needs_manual_verification,valid_pending_verification,
476f391fc76449a6,Wigwamen Housing Services (3 Week Program),825 Coxwell Ave,Toronto,,(416) 481-4451,416-923-0800,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
1348aed7c6839072,Real Canadian Superstore - Loblaw Pharmacy - North York - 51 Gerry Fitzgerald Dr,"51 Gerry Fitzgerald Dr, Toronto, ON M3J 3N4",Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=151383,416-665-3209,416-665-7636,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
6564b49ab101f800,ADAPT Halton - Community Justice Programs (Milton Office),"Milton, ON L9T 2J4",Milton,,905-693-4250 ext 0,1-877-517-2237,different_number_or_area_code,needs_manual_verification,valid_pending_verification,
033d4d0e831d6b1f,Community Withdrawal Management Services - Community Addiction and Mental Health Centre,850 McConnell Ave.,"Cornwall, ON K6H 4M3",,(613) 361-6363,613-938-8506,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
13b4657bb12f97e1,Single Point Access - Community Addiction and Mental Health Centre,850 McConnell Ave.,"Cornwall, ON K6H 4M3",,(613) 361-6363,613-361-6363 Ext 8151 | 1-888-286-5437 Ext 815,same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
3cfce2f17a08b496,Mood Disorders Association of Ontario,36 Eglinton Ave W Ste 602,Toronto,,(888) 486-8236,416-486-8046,different_number_or_area_code,needs_manual_verification,valid_pending_verification,
81b4a8f11e3c7e00,Punjabi Community Health Services — Concurrent Disorders Group (Brampton - Sunny Meadow Blvd),Sunny Meadow Blvd,Brampton,,905-677-0889,905-790-0808,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
c2f75dfad2c36613,Arborcare (Scott's Funeral Home),289 Main St. North,Brampton,,(905) 451-1100,416-863-0511,different_number_or_area_code,needs_manual_verification,valid_pending_verification,
2e78b89a8898a720,WoodGreen Community Services - Walk-in Counselling Service,815 Danforth Ave 2nd Fl,Toronto,,(416) 645-6000,"416-645-6000 ext 2512, 1367",same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
8844b0dce4eb75fa,Peel Addiction Assessment and Referral Centre (PAARC) - Adult Program,"5170 Dixie Road, Suite 302, L4W 1E3","Mississauga, ON",,(905) 629-1007,905-629-1007 ext.22,same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
c8f43033fafc24fb,"Canadian Mental Health Association, Ontario","180 Dundas Street West, Suite 2301, Toronto, Ontario M5G 1Z8",Toronto,,(416) 646-5557,416-977-5580,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
707406be51bc72cd,St. Elizabeth Health Care Mobile Crisis/Integrated Community Mental Health Crisis Response Program,2 Lansing Sq Ste 600,Toronto,,416-498-8600,416-498-0043,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
aadce46825d7d432,Ontario Addiction Treatment Centres (OATC) - Pembroke - Methadone Maintenance Treatment Programs,156 John St W,Pembroke,,(613) 732-9000,613-735-7469,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
6d47a596a79393f6,St. Michael's Hospital - Interventional Psychiatry Program (Mental Health and Addictions Service),"St. Michael's Hospital, 30 Bond St.",Toronto,,(416) 360-4000,416-864-3920,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
475ec225e94bef5a,Woodgreen Community Services - Full Circle Program,"815 Danforth Avenue, Main floor",Toronto,,(416) 645-6000,416-572-3575,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
