Address,City,Name,Phone Number,Website,Zip Code,source_url
"2213 Bostock Cres, Mississauga, ON L5J 3S8",Mississauga,Earthy Apothecary,905-823-1646,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=218387,L5J 3S8,https://www.facebook.com/TheVillagePharm/
"170 Rebecca St, Oakville, ON L6K 1J6",Oakville,Edward's Pharmacy,905-338-9911,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154922,L6K 1J6,https://www.facebook.com/TheVillagePharm/
"802 Southdown Rd, Unit C4, Mississauga, ON L5J 2Y4",Mississauga,eMichael Pharmacy,289-628-1920,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147721,L5J 2Y4,https://www.facebook.com/TheVillagePharm/
"1101 McBride Ave, Mississauga, ON L5C 1M6",Mississauga,Erindale Medical Pharmacy,905-270-1200,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147724,L5C 1M6,https://www.facebook.com/TheVillagePharm/
"5468 Dundas St W, Suite 104, Toronto, ON M9B 6E3",Toronto,Etobicoke First Pharmacy,647-725-5143,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=153468,M9B 6E3,https://www.facebook.com/TheVillagePharm/
"3885 Duke of York Blvd, Unit C106, Mississauga, ON L5B 0E4",Mississauga,Excellent Care Pharmacy - Mississauga,905-232-2111,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=170081,L5B 0E4,https://www.facebook.com/TheVillagePharm/
"Crosscurrent Centre, 2980 Crosscurrent Dr, Unit 6, Mississauga, ON L5N 7C7",Mississauga,Extra Mile Pharmacy,905-785-7888,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=187031,L5N 7C7,https://www.facebook.com/TheVillagePharm/
"3355 Hurontario St, Unit 13, Mississauga, ON L5A 4E7",Mississauga,Fairview Medical Pharmacy,905-272-0000,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=198041,L5A 4E7,https://www.facebook.com/TheVillagePharm/
"1030 Burnhamthorpe Rd E, Mississauga, ON L4Y 2X6",Mississauga,Faith Hope and Love Pharmacy,905-848-4485,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=219792,L4Y 2X6,https://www.facebook.com/TheVillagePharm/
"6675 Falconer Dr, Unit 3, Mississauga, ON L5N 0C3",Mississauga,Falconer Pharmacy,905-821-3637,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147727,L5N 0C3,https://www.facebook.com/TheVillagePharm/
"First Medical Place, 170 Queensway W, Unit 101, Mississauga, ON L5B 3A8",Mississauga,First Place Pharmacy,905-848-3222,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147728,L5B 3A8,https://www.facebook.com/TheVillagePharm/
"Dominion Supermarket, 478 Dundas St W, Oakville, ON L6H 6Y3",Oakville,Food & Drug Basics - Oakville,905-257-5400,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154944,L6H 6Y3,https://www.facebook.com/TheVillagePharm/
"2550 Hurontario St, Mississauga, ON L5B 1N5",Mississauga,Food Basics Pharmacy - Mississauga - Hurontario St,905-272-2828,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147712,L5B 1N5,https://www.facebook.com/TheVillagePharm/
"173 Lakeshore Rd W, Oakville, ON L6K 1E7",Oakville,Fortinos DRUGStore Pharmacy - Oakville - Lakeshore Rd W,905-845-4946,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154933,L6K 1E7,https://www.facebook.com/TheVillagePharm/
"325 Guelph St, Georgetown, ON L7G 4B3",Georgetown,FreshCo Pharmacy - Georgetown - Guelph St,905-873-1195,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154817,L7G 4B3,https://www.facebook.com/TheVillagePharm/
"5602 Tenth Line W, Mississauga, ON L5M 7L9",Mississauga,FreshCo Pharmacy - Mississauga - Tenth Line W,905-858-8212,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147840,L5M 7L9,https://www.facebook.com/TheVillagePharm/
"221 Miller Dr, Units 8-9, Georgetown, ON L7G 6G4",Georgetown,Genesis Pharmacy,905-873-1001,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=161815,L7G 6G4,https://www.facebook.com/TheVillagePharm/
"68 Main St S, Georgetown, ON L7G 3G3",Georgetown,Georgetown Pharmacy,905-877-8888,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=160714,L7G 3G3,https://www.facebook.com/TheVillagePharm/
"1278 The Queensway, Unit 4, Toronto, ON M8Z 1S3",Toronto,Get Well Pharmacy,416-259-4747,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154382,M8Z 1S3,https://www.facebook.com/TheVillagePharm/
"Bronte Corporation Centre, 400 Bronte St S, Unit 102, Milton, ON L9T 0H7",Milton,Glen Eden Pharmacy,905-878-5111,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154884,L9T 0H7,https://www.facebook.com/TheVillagePharm/
"2318 Dunwin Dr, Units 1-2, Mississauga, ON L5L 1C7",Mississauga,Glen Erin Pharmacy,905-828-1980,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147730,L5L 1C7,https://www.facebook.com/TheVillagePharm/
"2385 Burnhamthorpe Rd W, Unit 6, Mississauga, ON L5L 6A4",Mississauga,Glen Gate Pharmacy,905-820-5551,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147731,L5L 6A4,https://www.facebook.com/TheVillagePharm/
"333 Glenashton Dr, Unit 1, Oakville, ON L6H 7P6",Oakville,Glenashton Pharmacy,905-842-2300,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154923,L6H 7P6,https://www.facebook.com/TheVillagePharm/
"1 Glenn Hawthorne Blvd, Unit 5, Mississauga, ON L5R 0C2",Mississauga,Glenn Huron Pharmacy,905-890-0303,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147733,L5R 0C2,https://www.facebook.com/TheVillagePharm/
"BMO Plaza, 120 Eringate Dr, Etobicoke, ON M9C 3Z8",Etobicoke,Guardian Pharmacy - Etobicoke - Eringate Dr (Eringate Drugs),416-621-3111,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=153288,M9C 3Z8,https://www.facebook.com/TheVillagePharm/
"378 Mountainview Rd S, Unit 11, Georgetown, ON L7G 0L5",Georgetown,Guardian Pharmacy - Georgetown - Mountainview Rd S (Mountainview Pharmacy),905-877-0700,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=176150,L7G 0L5,https://www.facebook.com/TheVillagePharm/
"720 Burnhamthorpe Rd W, Unit 4, Mississauga, ON L5C 3G1",Mississauga,Guardian Pharmacy - Mississauga - 720 Burnhamthorpe Rd W (BestKare Pharmacy),905-615-7777,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=173990,L5C 3G1,https://www.facebook.com/TheVillagePharm/
"777 Dundas St W, Mississauga, ON L5C 4P6",Mississauga,Guardian Pharmacy - Mississauga - 777 Dundas St W (Medi Plus Pharmacy 005),905-279-6970,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=166318,L5C 4P6,https://www.facebook.com/TheVillagePharm/
"2180 Credit Valley Rd, Mississauga, ON L5M 3C9",Mississauga,Guardian Pharmacy - Mississauga - Credit Valley Rd (Neilson Pharmacy Ltd),905-820-5434,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147781,L5M 3C9,https://www.facebook.com/TheVillagePharm/
"1224 Dundas St W, Unit 107, Mississauga, ON L5C 4G7",Mississauga,Guardian Pharmacy - Mississauga - Dundas St W (Dundas Medical Pharmacy),905-275-8500,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=165059,L5C 4G7,https://www.facebook.com/TheVillagePharm/
"295 Eglinton Ave E, Unit 9, Mississauga, ON L4Z 3K6",Mississauga,Guardian Pharmacy - Mississauga - Eglinton Ave E (Inter Pharmacy),905-712-4231,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147748,L4Z 3K6,https://www.facebook.com/TheVillagePharm/
"265 Enfield Place, Unit R210, Mississauga, ON L5B 3Y6",Mississauga,Guardian Pharmacy - Mississauga - Enfield Place (Cura Pharmacy),905-276-9488,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147706,L5B 3Y6,https://www.facebook.com/TheVillagePharm/
"Kee Square, 4646 Heritage Hills Blvd, Units 9-10, Mississauga, ON L5R 1Y4",Mississauga,Guardian Pharmacy - Mississauga - Heritage Hills Blvd (Heritage Hills Pharmacy),905-890-1556,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147741,L5R 1Y4,https://www.facebook.com/TheVillagePharm/
"20 Kingsbridge Garden Circle, Unit 2, Mississauga, ON L5R 3K7",Mississauga,Guardian Pharmacy - Mississauga - Kingsbridge Garden Circle (Kingsbridge Pharmacy),905-568-0022,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147754,L5R 3K7,https://www.facebook.com/TheVillagePharm/
"374 Lakeshore Rd E, Mississauga, ON L5G 1H5",Mississauga,Guardian Pharmacy - Mississauga - Lakeshore Rd E (Marcos Pharmacy),905-271-6699,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147767,L5G 1H5,https://www.facebook.com/TheVillagePharm/
"1107 Lorne Park Rd, Unit 11, Mississauga, ON L5H 3A1",Mississauga,Guardian Pharmacy - Mississauga - Lorne Park Rd (Jane's Pharmacy),905-891-1111,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=176185,L5H 3A1,https://www.facebook.com/TheVillagePharm/
"3080 Windwood Dr, Unit 6, Mississauga, ON L5N 2K5",Mississauga,Guardian Pharmacy - Mississauga - Windwood Dr (Windwood Pharmacy),905-814-1300,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=176182,L5N 2K5,https://www.facebook.com/TheVillagePharm/
"347 Lakeshore Rd E, Oakville, ON L6J 1J5",Oakville,Guardian Pharmacy - Oakville - Lakeshore Rd E (Lakeshore Drug Mart),905-338-1919,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154929,L6J 1J5,https://www.facebook.com/TheVillagePharm/
"2222 Lakeshore Rd W, Unit 2220, Oakville, ON L6L 5G5",Oakville,Guardian Pharmacy - Oakville - Lakeshore Rd W (OSR Pharmacy),905-847-8200,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154950,L6L 5G5,https://www.facebook.com/TheVillagePharm/
"Trafalgar Professional Centre, 1235 Trafalgar Rd, Oakville, ON L6H 3P1",Oakville,Guardian Pharmacy - Oakville - Trafalgar Rd (Cims Pharmacy),905-845-0800,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154904,L6H 3P1,https://www.facebook.com/TheVillagePharm/
"Oakville Health Centre (The), 1060 Speers Rd, Suite 112, Oakville, ON L6L 2X4",Oakville,Halton Pharmacy,905-842-4266,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154924,L6L 2X4,https://www.facebook.com/TheVillagePharm/
"Hawthorne Village Square Plaza, 10220 Derry Rd, Unit 105A, Milton, ON L9T 7J3",Milton,Hawthorne Pharmacy,905-878-9292,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154885,L9T 7J3,https://www.facebook.com/TheVillagePharm/
"640 Eglinton Ave W, Unit 3, Mississauga, ON L5R 3V2",Mississauga,Health Plus Pharmacy,905-890-2040,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=174719,L5R 3V2,https://www.facebook.com/TheVillagePharm/
"Heartland Town Centre, 775 Britannia Rd W, Unit 12, Mississauga, ON L5V 2Y1",Mississauga,Heartland Health Pharmacy,905-919-2200,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=187144,L5V 2Y1,https://www.facebook.com/TheVillagePharm/
"Mountainview Medical Centre, 2 Mountainview Rd S, Georgetown, ON L7G 4J9",Georgetown,HighCare Pharmacy,905-877-4848,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=199187,L7G 4J9,https://www.facebook.com/TheVillagePharm/
"400 Guelph St, Unit 3, Georgetown, ON L7G 0J2",Georgetown,Hill Pharmacy,905-877-2016,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=199016,L7G 0J2,https://www.facebook.com/TheVillagePharm/
"88 Lakeshore Rd E, Mississauga, ON L5G 1E1",Mississauga,Hooper's Pharmacy and Vitamin Shop - Mississauga - Port Credit,905-278-4242,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147743,L5G 1E1,https://www.facebook.com/TheVillagePharm/
"Renforth Plaza, 460 Renforth Dr, Unit 10, Toronto, ON M9C 2N2",Toronto,IDA Pharmacy - Etobicoke - Renforth Dr (Renforth Pharmacy),416-622-0300,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=153455,M9C 2N2,https://www.facebook.com/TheVillagePharm/
"King's Cove Place, 156 Guelph St, Unit 4, Georgetown, ON L7G 4A6",Georgetown,IDA Pharmacy - Georgetown - Guelph St (King Cove Pharmacy),905-873-8880,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=170676,L7G 4A6,https://www.facebook.com/TheVillagePharm/
"1207 Hurontario St, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - 1207 Hurontario St (Carl's Pharmacy),905-278-7041,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147688,L5G 3H2,https://www.facebook.com/TheVillagePharm/
"2555 Erin Centre Blvd, Unit 16, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - 2555 Erin Centre Blvd (Erin Centre Pharmacy),905-816-9300,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147722,L5M 5H1,https://www.facebook.com/TheVillagePharm/
"6405 Erin Mills Pkwy, Unit A-01, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Battleford Rd (Battleford Pharmacy),905-858-1600,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147683,L5N 4H4,https://www.facebook.com/TheVillagePharm/
"4062 Confederation Pkwy, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Confederation Pkwy (Parkside Pharmacy),289-914-0099,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=161094,L5B 0G4,https://www.facebook.com/TheVillagePharm/
"3353 The Credit Woodlands, Unit 2, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Credit Woodlands (Woodland Pharmacy),905-279-5353,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147875,L5C 2K1,https://www.facebook.com/TheVillagePharm/
"2760 Derry Rd W, Unit 3, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Derry Rd W (Glen Derry Pharmacy),289-997-3203,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147732,L5N 3N5,https://www.facebook.com/TheVillagePharm/
"Confederation Plaza, 480 Eglinton Ave W, Unit 46, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Eglinton Ave W (Care Plus Pharmacy),905-502-6000,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=166760,L5R 0G2,https://www.facebook.com/TheVillagePharm/
"4099 Erin Mills Pkwy, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Erin Mills Pkwy (Erin Mills Pharmacy),905-820-3761,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147723,L5L 3P9,https://www.facebook.com/TheVillagePharm/
"1900 Fowler Dr, Unit D114, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Fowler Dr (Van Mills Pharmacy),905-403-0400,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147861,L5K 0A1,https://www.facebook.com/TheVillagePharm/
"5636 Glen Erin Dr, Unit 2, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Glen Erin Dr (Thomas Pharmacy),905-819-9000,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147850,L5M 6B1,https://www.facebook.com/TheVillagePharm/
"181 Queen St S, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Queen St S (Robinson Pharmacy),905-826-1115,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154394,L5M 1L2,https://www.facebook.com/TheVillagePharm/
"Park Royal Shopping Centre, 2425 Truscott Dr, Mississauga, ON",Mississauga,IDA Pharmacy - Mississauga - Truscott Dr (Truscott Pharmacy),905-822-1614,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147751,L5J 2B4,https://www.facebook.com/TheVillagePharm/
"586 Argus Rd, Unit 102, Oakville, ON",Oakville,IDA Pharmacy - Oakville - Argus Rd (St Mark's Pharmacy),905-845-6125,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154961,L6J 3J3,https://www.facebook.com/TheVillagePharm/
"124 Burnhamthorpe Rd E, Level 1, Oakville, ON",Oakville,IDA Pharmacy - Oakville - Burnhamthorpe Rd E (Sav-On Pharmacy),905-826-4000,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=207941,L6H 0X9,https://www.facebook.com/TheVillagePharm/
"609 Ford Dr, Unit A7, Oakville, ON",Oakville,IDA Pharmacy - Oakville - Ford Dr (Ford Dr Pharmacy),905-845-3673,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=196533,L6J 7Z6,https://www.facebook.com/TheVillagePharm/
"216 Oak Park Blvd, Unit 1, Oakville, ON",Oakville,IDA Pharmacy - Oakville - Oak Park Blvd (Central Park Pharmacy),905-257-1217,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=192720,L6H 7S8,https://www.facebook.com/TheVillagePharm/
"College Park Plaza, 1534 Queensbury Cres, Unit 5, Oakville, ON",Oakville,IDA Pharmacy - Oakville - Queensbury Cres (Upper Middle Pharmacy),905-815-9111,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=186211,L6H 4G5,https://www.facebook.com/TheVillagePharm/
"Sun Valley Square, 2524 Third Line, Unit 1, Oakville, ON",Oakville,IDA Pharmacy - Oakville - Third Line (Royal Oak Pharmacy),905-469-8830,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154958,L6M 0G8,https://www.facebook.com/TheVillagePharm/
"1670 North Service Rd E, Unit 113, Oakville, ON",Oakville,Ironoak Pharmacy,289-815-4940,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=219271,L6H 7G3,https://www.facebook.com/TheVillagePharm/
"888 Dundas St E, Unit B4-2, Mississauga, ON",Mississauga,J.C. Pharmacy,905-897-3320,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147785,L4Y 4G6,https://www.facebook.com/TheVillagePharm/
"51 James Snow Pkwy N, Unit 2, Milton, ON",Milton,James Snow Pharmacy,905-636-1799,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154887,L9T 0R3,https://www.facebook.com/TheVillagePharm/
"796 Burnhamthorpe Rd W, Unit 2, Mississauga, ON",Mississauga,Jennas Pharmacy,905-306-0111,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147749,L5C 2R9,https://www.facebook.com/TheVillagePharm/
"Oakwoods Centre, 1915 Ironoak Way, Unit 1 and 2, Oakville, ON",Oakville,Joshua Creek Pharmacy,289-644-2948,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=204291,L6H 0N1,https://www.facebook.com/TheVillagePharm/
