address,city,country,departments,email,fax,hours,name,notes,organization,phone,phones,postal_code,province,service_description,services,source_url,status,type,website
389 Oliver Rd,Thunder Bay,,,,,Hours vary; call for information,"Oak Medical Arts - Academy Medical Pharmacy, Walk-In Clinic",Walk-in appointments required; private healthcare; OHIP not covered,,807-344-4540,,P7B 2G1,ON,,,https://211north.ca/record/65815748/,,,
620 Arthur St W,Thunder Bay,,,,,,Mountdale Family Health Clinic,"Operates within Mountdale Medical Centre, a multi-service clinic in Thunder Bay South.",,807-577-5676,,P7E 5R8,ON,,,https://www.mountdaleclinic.com/,,,https://www.mountdaleclinic.com/
"1040 Oliver Rd, Health Services Centre",Thunder Bay,,,,,,Harbourview Family Health Team,,,807-346-1240,,P7B 7A5,ON,,,https://211ontario.ca/results/?searchLocation=Thunder+Bay&topicPath=101&latitude=48.3808951&longitude=-89.2476823&l=M&agency=1,,,
"1260 Golf Links Rd, 3rd Fl",Thunder Bay,,,,,,Anishnawbe Mushkiki,,,807-623-0383,,P7B 0A1,ON,,,https://211ontario.ca/results/?searchLocation=Thunder+Bay&topicPath=101&latitude=48.3808951&longitude=-89.2476823&l=M&agency=1,,,
971 Carrick St,Thunder Bay,,,,,,Aurora Family Health Clinic,,,807-633-6792,,P7B 6L9,ON,,,https://211ontario.ca/results/?searchLocation=Thunder+Bay&topicPath=101&latitude=48.3808951&longitude=-89.2476823&l=M&agency=1,,,
523 Algoma St N,Thunder Bay,,,,,"Tue 1 pm-4 pm, Fri 8:30 am-12 noon",Matawa Health Co-operative Clinic,For those with no Health Care Provider - accepting new patients,,807-346-2370,,P7A 5C2,ON,,,https://211north.ca/record/65815748/,,,
Thunder Bay,Thunder Bay,,,,,,Matawa First Nations Management,,,,,,ON,,,https://211north.ca/record/65815748/,,,
Thunder Bay,Thunder Bay,,,,,,Superior Family Health Walk-In Clinic,,,,,,Ontario,,,https://www.superiorfamilyhealth.com/walk-in-clinic,,,
"1265 Arthur St E, Suite 308",Thunder Bay,,,,,,Lakehead Nurse Practitioner-Led Clinic,,,807-475-9595,,P7E 6E7,ON,,,https://211ontario.ca/results/?searchLocation=Thunder+Bay&topicPath=101&latitude=48.3808951&longitude=-89.2476823&l=M&agency=1,,,
"97K Limbrick St, Limbrick Resource Centre",Thunder Bay,,,,,[],NorWest Community Health Centres - Limbrick Site,,,807-622-8235,,P7C 4S8,ON,,,https://211north.ca/record/65815748/,,,
125 Vickers St S,Thunder Bay,,,,,,White Cedar Health Care Centre,,,,"[{'label': 'Thunder Bay Office', 'number': '1-888-907-5008'}, {'label': 'Office', 'number': '807-475-4357'}]",P7E 1J2,ON,,,https://211ontario.ca/results/?searchLocation=Thunder+Bay&topicPath=101&latitude=48.3808951&longitude=-89.2476823&l=M&agency=1,,,
