Address,City,Name,Phone Number,source_url
A-120 King Street W,North Bay,North Bay General Hospital – Nipissing Detoxification and Substance Abuse Programs,(705) 476-6240,https://canatc.ca/addiction-treatment/inpatient/
360 Sunnyside Avenue,Ottawa,Empathy House of Recovery – Sunnyside Avenue,(613) 730-1350,https://canatc.ca/addiction-treatment/inpatient/
260 Sugarloaf Street,Port Colborne,New Port Centre – Port Colborne General Hospital,(905) 378-4647 ext. 32500,https://canatc.ca/addiction-treatment/inpatient/
405 Ramsey Road,Sudbury,Iris Addiction Recovery for Women – Iris Treatment Centre,(705) 674-4193,https://canatc.ca/addiction-treatment/inpatient/
P.O. Box 8 2 Victoria Street South,Thamesville,Westover Treatment Centre,(519) 692-5110,https://canatc.ca/addiction-treatment/inpatient/
301 Lillie Street N,Thunder Bay,Sister Margaret Smith Centre – St. Joseph’s Care Group,(807) 684-5100,https://canatc.ca/addiction-treatment/inpatient/
140 Jubilee Avenue W,Timmins,Jubilee Centre Addiction Services,(705) 268-2666,https://canatc.ca/addiction-treatment/inpatient/
60 White Squirrel Way,Toronto,CAMH Residential Service,(416) 535-8501 ext. 6616,https://canatc.ca/addiction-treatment/inpatient/
3111 Lakeshore Boulevard W,Toronto,Jean Tweed Treatment Centre – Lakeshore Boulevard,(416) 255-7359 ext. 227,https://canatc.ca/addiction-treatment/inpatient/
356 Dundas Street W.,Toronto,The Renascent Fellowship – Graham Munro Centre,(647) 258-5960,https://canatc.ca/addiction-treatment/inpatient/
160 Jarvis Road,Toronto,Salvation Army Homestead- Toronto,(416) 921-0953 ext. 33,https://canatc.ca/addiction-treatment/inpatient/
215 King Street S,Waterloo,House of Friendship of Kitchener – Alcontrol,(519) 745-4691,https://canatc.ca/addiction-treatment/inpatient/
118 Cochrane Street,Whitby,Pinewood Centre – Destiny Manor,(905) 668-1858,https://canatc.ca/addiction-treatment/inpatient/
2335 Dougall Avenue,Windsor,Charity House (Windsor) – Brentwood Recovery Home,(519) 253-2441 ext. 240,https://canatc.ca/addiction-treatment/inpatient/
1771 Chappell Avenue,Windsor,House of Sophrosyne,(519) 252-2711,https://canatc.ca/addiction-treatment/inpatient/
"853 Thousand Islands Parkway, Mallorytown, ON K0E 1R0",Mallorytown,1000 Islands Drug Rehab Center,(855) 929-4045,https://canatc.ca/
850 McConnell Avenue,Cornwall,Addiction Services Cornwall,613-361-6363,https://www.canadadrugrehab.ca/ontario/ontario-locate-your-health-authority/toronto-central/
38 Isabella Street,Toronto,Renascent Inpatient Treatment,1-866-232-1212,https://www.canadadrugrehab.ca/ontario/ontario-locate-your-health-authority/toronto-central/
215 Evans Ave.,Toronto,Jean Tweed Treatment Centre,1.416.255.7359,https://www.canadadrugrehab.ca/ontario/ontario-locate-your-health-authority/toronto-central/
1777 Montréal Road,Ottawa,Ottawa Withdrawal Management Center (Monfort Renaissance),613.241.1525,https://www.canadadrugrehab.ca/ontario/ontario-locate-your-health-authority/toronto-central/
911 Queen Street E,Sault Ste. Marie,Detox Centre – Sault Ste. Marie,705.942.1872,https://www.canadadrugrehab.ca/ontario/ontario-locate-your-health-authority/toronto-central/
"5483 Trafalgar Rd, Erin, ON N0B 1T0, Canada",Erin,Trafalgar Addiction Treatment Centres,855-972-9760,https://www.ymcagta.org/youth-programs/ysap
"3571 Muskoka District Road 169, Bala, ON, Canada",Bala,GreeneStone Centre for Recovery,855-821-5010,https://www.ymcagta.org/youth-programs/ysap
"401 Somerset St W, Ottawa, ON K2P 0K1, Canada",Ottawa,"OATC, Ottawa",1-877-937-2282,https://dfcm.utoronto.ca/greater-toronto-area-gta-stream
"14785 Yonge St, Suite 210",Aurora,Addiction Services Central Ontario (ASCO) — Aurora Main Office,905.841.7007,https://rehabcareontario.ca/
41 Ramsey Lake Road,Sudbury,Health Sciences North (Ramsey Lake Health Centre),705-523-7100,https://recovery.com/ontario/
"1112 St. Andrew's Drive, Midland, Ontario L4R 4P4, Canada",Midland,Georgian Bay General Hospital,705-526-1300,https://en.wikipedia.org/wiki/St._John%27s_Rehab_Hospital
"435 Main St E, Merrickville, ON K0G 1N0",Merrickville,Newgate 180,+1 888-995-8091,https://www.josephbranthospital.ca/areas-of-care/rehabilitation
1001 Queen St W,Toronto,Centre for Addiction and Mental Health (CAMH),416-535-8501,https://www.uhn.ca/West_Park
82 Buttonwood Ave,Toronto,West Park Healthcare Centre,416-243-3600,https://www.uhn.ca/West_Park
109 St Paul Crescent,St. Catharines,Freeport Recovery,(289) 273-2485,https://www.uhn.ca/TorontoRehab
"50 College Drive, P.O. Box 2500, P1B 5A4",North Bay,North Bay Regional Health Centre,705-474-8600,http://www.torontocentralhealthline.ca/listServices.aspx?id=10826
"680 Kirkwood Drive, P3E 1X3",Sudbury,North Bay Regional Health Centre - Sudbury Campus,705-675-9193,http://www.torontocentralhealthline.ca/listServices.aspx?id=10826
"180 Dundas Street West, Suite 2301, Toronto, ON M5G 1Z8",Toronto,"Canadian Mental Health Association, Ontario",1-800-875-6213,https://www.rrcp.sjcg.net/
"173 Manitoba Street, Suite 202, P1L 1S3",Bracebridge,CMHA Muskoka-Parry Sound (Head Office),705-645-2262; 1-800-245-5036,https://www.edgewoodhealthnetwork.com/locations/guardians-gateway/
"76 Grenville Street, M5S 1B2",Toronto,Women's College Hospital,(416) 323-6400,https://link.springer.com/article/10.1186/s13011-023-00586-3
"Vaughan, Ontario, Canada",Vaughan,Centres for Health and Healing,(833) 956-8772,https://www.canadadrugrehab.ca/blog/addiction-treatment-withdrawal/inpatient-vs-outpatient-treatment/
"175 Brentcliffe Road, Toronto, ON, M4G 0C5, Canada",Toronto,EHN Bellwood Toronto,1-866-520-0567,https://rehabs.com/treatment/specialized-treatment/teen/
"2225 Lansdowne St West, Peterborough, ON K9J 0G5, Canada",Peterborough,EHN Guardians Gateway,1-866-988-0924,https://rehabs.com/treatment/specialized-treatment/teen/
536 Brunel Street,Ottawa,Serenity House Inc.,(613) 733-3663,https://www.rvh.on.ca/areas-of-care/mental-health-and-addictions/adult-addiction-services/
"170 East Street Suite #202 (Second Floor), ON P6A 3C6",Sault Ste. Marie,Addictions Treatment Clinic (Sault Area Hospital),705-759-6684,https://oasas.ny.gov/find-addiction-treatment
750 Great Northern Road,"Sault Ste. Marie, ON P6B 0A8",Sault Area Hospital,(705) 759-3434,https://oasas.ny.gov/find-addiction-treatment
3426 Lake Shore Blvd W,Etobicoke,TSCP - Toronto Safe Clinics and Pharmacies,(844) 722-8829,https://freeportrecovery.ca/drug-rehab-clinics-toronto-605195/
"200 Terrace Hill St., N3R 1G9",Brantford,Brantford General Hospital,519-751-5544,https://www.cbc.ca/news/canada/toronto/toronto-drug-addiction-mayoral-candidates-byelection-1.6808105
"238 Grand River St. North, N3L 2N7",Paris,"The Willett, Paris",519-442-2251,https://www.cbc.ca/news/canada/toronto/toronto-drug-addiction-mayoral-candidates-byelection-1.6808105
"1895 Bradley Side Rd, Carp, ON K0A 1L0",Carp,Dave Smith Youth Treatment Centre,613-594-8333,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"3435 Ramsayville Rd, Ottawa, ON K1G 3N2",Ottawa,Harvest House Ministries of Ottawa-Carleton,613-521-9114,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"2089 Walkley Rd, Ottawa, ON K1G 3G7",Ottawa,Jericho Road Ministries,613-567-5134 * 613-234-3833,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"242 Cantin St W, Ottawa, ON K1L 6T2",Ottawa,Le CAP - Dépendances - Centre de traitement pour hommes,1-877-654-0990,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"105 Laval St, Ottawa, ON K1L 7Z5",Ottawa,Le CAP - Dépendances - Résidence des femmes,613-789-2240 ext 0,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"225 Donald St, Ottawa, ON K1L 8H2",Ottawa,Le CAP - Services en dépendances et troubles concomitants-jeunes et familles,613-789-2240 ext 2,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"196 Argyle St S, Renfrew, ON K7V 1T5",Renfrew,Mackay Manor - Renfrew County Addiction Supportive Housing Program,613-432-9878,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"196 Argyle St S, Renfrew, ON K7V 1T5",Renfrew,Mackay Manor - Residential Recovery Home for Men,613-432-4946,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"37 Irving Ave, Ottawa, ON K1Y 1Z2",Ottawa,Maison Decision House,613-728-5013,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"845 Kirkwood Ave, Ottawa, ON K1Z 5Y1",Ottawa,Manoir Wymering Manor,613-722-8811,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"1777 Montreal Rd, Ottawa, ON K1J 6N1",Ottawa,Montfort Renaissance - Ottawa Withdrawal Management Centre,24 hours 613-241-1525,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"Ottawa Booth Centre, 175 George St, Ottawa, ON K1N 5W5",Ottawa,Salvation Army (The) - Booth Centre Ottawa - Anchorage,613-241-1573,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"103 Leopolds Dr, Ottawa, ON K1V 7E2",Ottawa,Serenity House,24 hours 613-733-3574,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"256 King Edward Ave, Ottawa, ON K1N 7M1",Ottawa,Shepherds of Good Hope - Transitional Emergency Shelter Program,613-688-2929 ext 2101,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"90 First Ave W, Ottawa, ON K1S 2G4",Ottawa,Sobriety House,24 hours 613-233-0828 ext 7,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"35 Waller St, Ottawa, ON K1N 7G4",Ottawa,The Ottawa Mission - Addiction and Trauma Services,613-234-1144,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"1145 Carling Ave, Ottawa, ON K1Z 7K4",Ottawa,The Royal - Royal Ottawa Mental Health Centre - Substance Use and Concurrent Disorders Program - Short Term Intensive Residential Treatment,Referrals 613-722-6521 ext 6508,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"8173 Trafalgar Rd, Hornby, ON L0P 1E0",Hornby,Hope Place Centres - Halton Hills - Trafalgar Rd - Women's Bed-Based Addiction Treatment Program,905-875-3214,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812263
"6482 Bloomington Rd., Stouffville, ON L4A 2Z5",Stouffville,The Farm Rehab,(905) 203-2777,https://ontario.cmha.ca/documents/addressing-emergency-department-wait-times-and-enhancing-access-to-community-mental-health-and-addictions-services-and-supports/
770 E 176th St,Bronx,VIP Community Services OCCBHC(53773),718-583-5150 x8418,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
716 Fairmount Pl,Bronx,VIP Community Services RR(53043),718-583-5150 x8948,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
764 E 176th St,Bronx,VIP Community Services SRR(53042),718-583-5150 x8948,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
770 E 176th St,Bronx,"VIP Community Services, Inc. OTP(670)",718-583-5150 x8948,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
30 W State St,Binghamton,Addiction Center of Broome County OP(50396),607-723-7308 x121,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
1182 Chenango Street,Binghamton,Addiction Center of Broome County OP(50396),607-723-7308 x121,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
306 Main Street,Endicott,Addiction Center of Broome County OP(50396),607-723-7308 x121,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
103 Leilanis Lane,Norwich,Addiction Center of Broome County OP(50396),607-723-7308 x121,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
249 Glenwood Rd,Binghamton,Helio Health Binghamton Inpt Rehab(53359),607-296-3072,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
249 Glenwood Rd,Binghamton,"Helio Health, Inc. MSW-IP(53211)",607-296-3072,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
10-42 Mitchell Ave,Binghamton,New Horizons CD Treatment Center IP(50598),607-762-2901,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
10-42 Mitchell Ave,Binghamton,New Horizons Chemical Dep Treatment OP(50599),607-762-2552,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
10-42 Mitchell Ave,Binghamton,United Health Services Hospital OTP(691),607-762-2653,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
201 S Union St,Olean,"CASA-Trinity, Inc. COP2(53943)",716-373-4303,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
207 S Union St,Olean,"CASA-Trinity, Inc. RRi(54038)",716-790-0268,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
1351 Olean Portville Rd,Weston Mills,Weston Manor RRi(53861),716-790-0268,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
1355 Olean Portville Rd,Weston Mills,Willow House 820 Residential SRR(53621),716-373-0021,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
2 Coulter Rd,Clifton Springs,Clifton Springs Hospital & Clinic OP 1,315-462-1071,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
35 North Street,Canandaigua,Clifton Springs Hospital & Clinic OP 1 (Canandaigua),315-462-1071,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
2 Coulter Rd,Clifton Springs,Inpatient Addiction Recovery Prgm IP 1,315-462-1070,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
28 E Main St,Clifton Springs,Addictions Crisis Center RS (Finger Lakes Area Counseling/Recovery),315-359-0617,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
2650 East St,Canandaigua,Cadence CR RRi,315-462-9466,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
116 Lewis St,Geneva,FLACRA CCCBHC,315-359-1723,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
28 E Main St,Clifton Springs,FLACRA MSW-IP,315-359-0617,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
28 E Main St,Clifton Springs,FLACRA OP,315-759-4615,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
1386 Hathaway Dr,Farmington,FLACRA OP 3,315-359-7396,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
28 E Main St,Clifton Springs,FLACRA SRR 1,315-759-8408,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
285 Vanderbilt Avenue,Staten Island,Staten Island YMCA Cnsling Service OP(7209),718-948-3232,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
140 Old Orangeburg Rd,Orangeburg,Blaisdell Addiction Treatment Cntr IP(50735),845-925-4632,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
255 Lafayette Ave,Suffern,Good Samaritan Hospital IP(6972),845-376-6801,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
255 Lafayette Ave,Suffern,Good Samaritan Hospital MMD(4494),845-327-8748,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
100 Route 59,Airmont,Lexington Center for Recovery OP 4(52137),845-369-9701 x1122,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
45 S Route 9W,West Haverstraw,"Lexington Cntr for Recovery, Inc. OP 5(52154)",845-947-3810 x1603,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
706 Executive Blvd,Valley Cottage,Rockland Medication Assisted Trt OTP(52646),845-362-3904 x1711,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
160 N Midland Ave,Nyack,Montefiore Nyack Hospital MMD(51030),845-348-2072,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
160 N Midland Ave,Nyack,The Recovery Center IP(51031),845-348-2072,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
25 Dies St,Canton,Canton House Cmmnty Res Srvs RRi(54139),315-379-0139,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
405 Locust Ave,Oakdale,Family Res and Esst Enterprises OP,631-923-2478,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
90 Adams Ave,Hauppauge,DASH ICSC,934-223-6513,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
1235 Montauk Hwy,Mastic,Family Recovery Center OP,631-924-3741,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
1448 Fifth Ave,Bayshore,Family Recovery Center OP1,631-647-3100,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
400 W Main St,Riverhead,Family Recovery Center OP2,631-772-3215 x7102,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
201 Dixon Ave,Amityville,"Hope For Youth, Inc. OP",631-782-6523,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
423 Park Ave,Huntington,Huntington Youth Bureau OP,631-271-3591,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
100 Highlands Blvd,Port Jefferson,Mather Outpatient Chem Depndnc Prgm OP,631-331-8200 x7960,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
320 W Montauk Hwy,Hampton Bays,Long Island Center for Recovery IP,631-728-3100 x131,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
320 W Montauk Hwy,Hampton Bays,Long Island Center for Recovery MSW-IP,631-728-3100 x131,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
550 Montauk Hwy,Shirley,NYU Langone Hospital Suffolk CD Ctr OP,631-654-7359,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
998 Crooked Hill Rd,Brentwood,Outreach Development Corp RR,631-521-8400 x5102,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
998 Crooked Hill Rd,Brentwood,Outreach Development Corp. COP,631-521-8400,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
400 Crooked Hill Rd,Brentwood,Outreach Development Corp. RRSY,631-231-3232,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
452 Suffolk Ave,Brentwood,Outreach Development Corporation OP 1,718-847-9233,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
400 Crooked Hill Rd,Brentwood,Outreach Development Corporation RR,631-469-6030,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
11 Farber Dr,Bellport,Outreach Project-Bellport OP,631-286-0700,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
525 Convent Road,Syosset,Outreach Project-Bellport OP (Syosset),631-286-0700,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
400 Crooked Hill Road,Brentwood,Outreach Project-Bellport OP (Brentwood),631-286-0700,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
350 Martha Avenue,Bellport,Outreach Project-Bellport OP (Bellport - Martha Ave),631-286-0700,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
100 Longwood Road,Middle Island,Outreach Project-Bellport OP (Middle Island),631-286-0700,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
400 Crooked Hill Rd,Brentwood,Outreach's Rcvry Rsdnce for Women RR,631-769-6200 x3303,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
287 Springs-Fireplace Rd,East Hampton,East Hampton Outpatient Services OP,631-329-0373,https://www.psychologytoday.com/ca/treatment-rehab/ontario?category=young-adult-residential
175 Brentcliffe Road,Toronto,EHN Bellwood Toronto,1-866-927-1585,https://recovery.com/trafalgar-ontario/
175 Brentcliffe Road,Toronto,Centre for Addiction & Mental Health (CAMH),416-535-8501,https://211ontario.ca/results/?searchLocation=Guelph&searchTerms=&latitude=43.5448048&longitude=-80.2481666&topicPath=123
"21 Wolsley St, St Joseph's Health Centre, P9N 3W7",Kenora,Lake of The Woods District Hospital,807-467-3555,https://www.kflaph.ca/en/organizations-and-professionals/mental-health-and-substance-use-services.aspx
"21 Wolsley St, St Joseph's Health Centre, P9N 3W7",Kenora,St Joseph Health Centre - Adult and Youth Addictions Programs,807-467-3555,https://www.kflaph.ca/en/organizations-and-professionals/mental-health-and-substance-use-services.aspx
221 Portsmouth Avenue,Kingston,"Kingston, Frontenac and Lennox & Addington Public Health",613-549-1232,https://www.cihi.ca/en/indicators/hospital-stay-extended-until-home-care-services-or-supports-ready
"60 Corporate Court, Guelph, ON, N1G 5J3",Guelph,Ontario Colleges (OCAS),+1 519-763-4725,https://www.mdpi.com/2071-1050/12/3/997
100 Constellation Drive,Ottawa,Ottawa Public Health,613-580-6744,https://clinicaltrials.gov/study/NCT05769777
"312 Parkdale Avenue, Ottawa, ON K1Y 4X5",Ottawa,Rideauwood Addiction and Family Services,613-724-4881,https://pmc.ncbi.nlm.nih.gov/articles/PMC10037746/
201 Georgian Drive,Barrie,Royal Victoria Regional Health Centre,705-728-9802,https://files.ontario.ca/opendata/mris_early_researcher_awards_data_set_update_mar_2_2018.csv
"647 Broadview Ave, Toronto, ON M4K 2N9",Toronto,Alpha House - Residential Program,416-469-1700,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"1001 Queen St W, Toronto, ON M6J 1H4",Toronto,Centre For Addiction And Mental Health (CAMH),416-535-8501,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"1261 Kennedy Rd, Unit B2, Toronto, ON M1P 2L4",Toronto,Doctors Pharmacy - Scarborough,416-490-0499,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"175 Brentcliffe Rd, East York, ON M4G 0C5",East York,Ehn Bellwood Toronto,416-495-0926,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"175 Brentcliffe Rd, East York, ON M4G 0C5",East York,Ehn Bellwood Toronto - Continuing Care Virtual Program,416-495-0926,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"175 Brentcliffe Rd, East York, ON M4G 0C5",East York,Ehn Bellwood Toronto - Core Drug And Alcohol Addiction Program,416-495-0926,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"315-550 Queen St E, Toronto, ON M5A 1V2",Toronto,Good Shepherd Non-Profit Homes - Substance Abuse Support Within Housing*Sh,416-203-2711,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"35 Taber Rd, unit 6, Etobicoke, ON M9W 3A7",Etobicoke,Just For Today Harm Reduction Centre,416-693-5877,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"985 Danforth Ave, Toronto, ON M4J 1M1",Toronto,Michael Garron Hospital - Residential Withdrawal Management - Men's Withdrawal Management Services,416-461-2010 ext 1,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"356 Dundas St W, Toronto, ON M5T 1G5",Toronto,Renascent - Live-In Treatment – Fee For Service - Renascent Graham Munro Centre,416-927-7649,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"54 Madison Ave, Toronto, ON M5R 2S4",Toronto,Renascent - Live-In Treatment – Fee For Service - Renascent Madison Avenue Centre,416-927-7649,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
