Address,City,Name,source_url
"135 Dawson St, Thessalon, ON P0R 1L0",Thessalon,North Shore Health Network - Thessalon Site,https://www.ontario.ca/page/ontarios-public-hospitals
"750 Great Northern Rd, Sault Ste Marie, ON P6B 0A8",Sault Ste Marie,Sault Area Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"101 Progress Cres, Kapuskasing, ON P5N 3H5",Kapuskasing,Sensenbrenner Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"6 Broomhead Rd, Chapleau, ON P0M 1K0",Chapleau,Services de santé de Chapleau Health Services - Chapleau General Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"107 Kelly Rd, Smooth Rock Falls, ON P0L 2B0",Smooth Rock Falls,Smooth Rock Falls Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"1140 South Bay Rd, Sudbury, ON P3E 0B6",Sudbury,St Joseph's Continuing Care Centre - Sudbury,https://www.ontario.ca/page/ontarios-public-hospitals
"70 Spine Rd, Elliot Lake, ON P5A 1X2",Elliot Lake,St Joseph's General Hospital Elliot Lake,https://www.ontario.ca/page/ontarios-public-hospitals
"421 Shepherdson Rd, New Liskeard, ON P0J 1P0",New Liskeard,Temiskaming Hospital - New Liskeard,https://www.ontario.ca/page/ontarios-public-hospitals
"19 Hospital Dr, Moose Factory, ON P0L 1W0",Moose Factory,Weeneebayko Area Health Authority (WAHA),https://www.ontario.ca/page/ontarios-public-hospitals
"972 Riverside E, Attawapiskat, ON P0L 1A0",Attawapiskat,Weeneebayko Area Health Authority (WAHA) - Attawapiskat Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"5 Airport Rd, Fort Albany, ON P0L 1H0",Fort Albany,Weeneebayko Area Health Authority (WAHA) - Fort Albany Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"5 Percy's Way, Moosonee, ON P0L 1Y0",Moosonee,Weeneebayko Area Health Authority (WAHA) - Moosonee Health Centre,https://www.ontario.ca/page/ontarios-public-hospitals
"19 Hospital Dr, Moose Factory, ON P0L 1W0",Moose Factory,Weeneebayko Area Health Authority (WAHA) - Weeneebayko General Hospital (WGH),https://www.ontario.ca/page/ontarios-public-hospitals
"725 Coursol Rd, Sturgeon Falls, ON P2B 2Y6",Sturgeon Falls,West Nipissing General Hospital (The) - Sturgeon Falls,https://www.ontario.ca/page/ontarios-public-hospitals
"6 Albert St, Parry Sound, ON P2A 3A4",Parry Sound,West Parry Sound Health Centre,https://www.ontario.ca/page/ontarios-public-hospitals
"555 University Ave, Toronto, ON M5G 1X8",Toronto,Hospital for Sick Children (The),https://www.ontario.ca/page/ontarios-public-hospitals
"201 Georgian Dr, Barrie, ON L4M 6M2",Barrie,Royal Victoria Regional Health Centre,https://www.ontario.ca/page/ontarios-public-hospitals
200 Fletcher Crescent,Alliston,Stevenson Memorial Hospital,https://trilliumhealthpartners.ca/
201 Georgian Drive,Barrie,Royal Victoria Regional Health Centre,https://trilliumhealthpartners.ca/
2100 Bovaird Drive East,Brampton,Brampton Civic Hospital,https://trilliumhealthpartners.ca/
101 Humber College Boulevard,Etobicoke,Etobicoke General Hospital,https://trilliumhealthpartners.ca/
20 Lynch Street,Brampton,Peel Memorial Centre for Integrated Health and Wellness,https://trilliumhealthpartners.ca/
200 Church Street,Toronto,Reactivation Care Centre – Church,https://trilliumhealthpartners.ca/
459 Hume Street,Collingwood,Collingwood General And Marine Hospital,https://trilliumhealthpartners.ca/
100 Frank Miller Drive,Huntsville,Huntsville District Memorial Hospital,https://trilliumhealthpartners.ca/
75 Ann Street,Bracebridge,South Muskoka Memorial Hospital,https://trilliumhealthpartners.ca/
381 Church Street,Markham,Markham-Stouffville Hospital,https://trilliumhealthpartners.ca/
4 Campbell Drive,Uxbridge,Uxbridge Hospital,https://trilliumhealthpartners.ca/
2111 Finch Avenue West,Toronto,Reactivation Care Centre – Finch,https://trilliumhealthpartners.ca/
1112 St. Andrew's Drive,Midland,Georgian Bay General Hospital - Main Site,https://trilliumhealthpartners.ca/
611 Prospect Boulevard,Midland,Georgian Bay General Hospital - Prospect Boulevard Site,https://trilliumhealthpartners.ca/
2200 Eglinton Avenue West,Mississauga,Credit Valley Hospital,https://trilliumhealthpartners.ca/
100 Queensway West,Mississauga,Mississauga Hospital,https://trilliumhealthpartners.ca/
150 Sherway Drive,Toronto,Queensway Health Centre,https://trilliumhealthpartners.ca/
"2180 Speakman Drive, Ground Floor",Mississauga,Speakman Dialysis Care Centre,https://trilliumhealthpartners.ca/
82 Buttonwood Avenue,Toronto,UHN Reactivation Care Centre,https://trilliumhealthpartners.ca/
596 Davis Drive,Newmarket,Southlake Health - Newmarket Site,https://trilliumhealthpartners.ca/
3001 Hospital Drive,Oakville,Oakville Trafalgar Memorial Hospital,https://trilliumhealthpartners.ca/
725 Bronte Street South,Milton,Milton District Hospital,https://trilliumhealthpartners.ca/
1 Princess Anne Drive,Georgetown,Georgetown Hospital,https://trilliumhealthpartners.ca/
100 Rolling Hills Drive,Orangeville,Headwaters Health Care Centre,https://trilliumhealthpartners.ca/
170 Colborne Street West,Orillia,Orillia Soldiers' Memorial Hospital,https://trilliumhealthpartners.ca/
500 Church Street,Penetanguishene,Waypoint Centre for Mental Health Care (Main Site),https://trilliumhealthpartners.ca/
287 Bayshore Drive,Midland,Waypoint Centre for Mental Health Care - Bayshore Drive Site,https://trilliumhealthpartners.ca/
10 Trench Street,Richmond Hill,Mackenzie Richmond Hill Hospital,https://trilliumhealthpartners.ca/
3200 Major Mackenzie Drive West,Vaughan,Cortellucci Vaughan Hospital,https://trilliumhealthpartners.ca/
"9401 Jane Street, Suite 101",Vaughan,Jane Street Site (Vaughan),https://trilliumhealthpartners.ca/
20260 County Road 43,Alexandria,Glengarry Memorial Hospital,https://trilliumhealthpartners.ca/
75 Spring Street,Almonte,Almonte General Hospital,https://trilliumhealthpartners.ca/
350 John Street North,Arnprior,Arnprior And District Memorial Hospital,https://trilliumhealthpartners.ca/
7 St. Francis Memorial Drive,Barry's Bay,St Francis Memorial Hospital,https://trilliumhealthpartners.ca/
265 Dundas Street East,Belleville,Belleville General Hospital,https://trilliumhealthpartners.ca/
1-H Manor Lane,Bancroft,North Hastings Hospital (Bancroft),https://trilliumhealthpartners.ca/
403 Main Street East,Picton,Prince Edward County Memorial Hospital,https://trilliumhealthpartners.ca/
242 King Street,Trenton,Trenton Memorial Hospital,https://trilliumhealthpartners.ca/
75 Charles Street,Brockville,Brockville General Hospital,https://trilliumhealthpartners.ca/
146 Oliver Road,Campbellford,Campbellford Memorial Hospital,https://trilliumhealthpartners.ca/
211 Lake Avenue East,Carleton Place,Carleton Place And District Memorial Hospital,https://trilliumhealthpartners.ca/
1000 DePalma Drive,Cobourg,Northumberland Hills Hospital,https://trilliumhealthpartners.ca/
14 York Street,Cornwall,St. Joseph's Continuing Care Centre,https://trilliumhealthpartners.ca/
840 McConnell Avenue,Cornwall,Cornwall Community Hospital,https://trilliumhealthpartners.ca/
117 Banting Drive,Deep River,Deep River And District Health,https://trilliumhealthpartners.ca/
"7199 Gelert Road, P.O. Box 115",Haliburton,Haliburton Site,https://trilliumhealthpartners.ca/
4575 Deep Bay Road,Minden,Minden Site,https://trilliumhealthpartners.ca/
1111 Ghislain Street,Hawkesbury,Hawkesbury And District General Hospital,https://trilliumhealthpartners.ca/
2675 Concession Road,Kemptville,Kemptville District Hospital,https://trilliumhealthpartners.ca/
166 Brock Street,Kingston,Hotel Dieu Hospital,https://trilliumhealthpartners.ca/
76 Stuart Street,Kingston,Kingston General Hospital,https://trilliumhealthpartners.ca/
820 John Marks Avenue,Kingston,Breast Imaging Kingston Centre,https://trilliumhealthpartners.ca/
"555 California Avenue, Unit 7 & 8",Brockville,Brockville Dialysis Clinic,https://trilliumhealthpartners.ca/
115 Barrack Street,Kingston,Street Health Centre,https://trilliumhealthpartners.ca/
752 King Street West,Kingston,Providence Care Hospital,https://trilliumhealthpartners.ca/
340 Union Street,Kingston,Transitional Care Centre,https://trilliumhealthpartners.ca/
10 Angeline Street North,Lindsay,Ross Memorial Hospital,https://trilliumhealthpartners.ca/
8 Richmond Park Drive,Napanee,Lennox And Addington County General Hospital,https://trilliumhealthpartners.ca/
1 Hospital Court,Oshawa,Oshawa Hospital,https://trilliumhealthpartners.ca/
47 Liberty Street South,Bowmanville,Bowmanville Hospital,https://trilliumhealthpartners.ca/
580 Harwood Avenue South,Ajax,Ajax and Pickering Health Centre,https://trilliumhealthpartners.ca/
451 Paxton Street,Port Perry,Port Perry Hospital,https://trilliumhealthpartners.ca/
300 Gordon Street,Whitby,Whitby Hospital,https://trilliumhealthpartners.ca/
1690 Dersan Street,Pickering,Jerry Coughlan Health and Wellness Centre,https://trilliumhealthpartners.ca/
401 Smyth Road,Ottawa,Children's Hospital Of Eastern Ontario-Ottawa Children's Treatment Centre,https://trilliumhealthpartners.ca/
3045 Baseline Road,Ottawa,Queensway-Carleton Hospital,https://trilliumhealthpartners.ca/
40 Ruskin Street,Ottawa,University of Ottawa Heart Institute,https://trilliumhealthpartners.ca/
60 Cambridge Street North,Ottawa,Saint-Vincent Hospital,https://trilliumhealthpartners.ca/
43 Bruyere Street,Ottawa,Élisabeth Bruyère Hospital,https://trilliumhealthpartners.ca/
713 Montreal Road,Ottawa,Hôpital Montfort,https://trilliumhealthpartners.ca/
2225 Mer-Bleue Road,Orleans,Orleans Health Hub (OHH) /Carrefour Santé Orleans (CSO),https://trilliumhealthpartners.ca/
1053 Carling Avenue,Ottawa,Civic Campus,https://trilliumhealthpartners.ca/
501 Smyth Road,Ottawa,General Campus,https://trilliumhealthpartners.ca/
1967 Riverside Drive,Ottawa,Riverside Campus,https://trilliumhealthpartners.ca/
505 Smyth Road,Ottawa,The Rehabilitation Centre,https://trilliumhealthpartners.ca/
3045 Baseline Road,Ottawa,Irving Greenberg Family Cancer Centre,https://trilliumhealthpartners.ca/
Unit 1-780 Baseline Road,Ottawa,Ottawa Dialysis Clinic,https://trilliumhealthpartners.ca/
Unit A-691 Brookdale Avenue,Cornwall,Cornwall Dialysis Clinic,https://trilliumhealthpartners.ca/
1145 Carling Avenue,Ottawa,Royal Ottawa Mental Health Centre,https://trilliumhealthpartners.ca/
1804 Highway 2 East,Brockville,Brockville Mental Health Centre,https://trilliumhealthpartners.ca/
705 MacKay Street,Pembroke,Pembroke Regional Hospital Site,https://trilliumhealthpartners.ca/
"Unit 2C, 600 Cecellia Street",Pembroke,Marianhill - Complex Continuing Care Site,https://trilliumhealthpartners.ca/
1 Hospital Drive,Peterborough,Peterborough Regional Health Centre,https://trilliumhealthpartners.ca/
499 Raglan Street North,Renfrew,Renfrew Victoria Hospital,https://trilliumhealthpartners.ca/
60 Cornelia Street West,Smith Falls,Smith Falls Site,https://trilliumhealthpartners.ca/
33 Drummond Street West,Perth,Great War Memorial Site (Perth),https://trilliumhealthpartners.ca/
700 Gordon Street,Whitby,Ontario Shores Centre for Mental Health Sciences,https://trilliumhealthpartners.ca/
566 Louise Street,Winchester,Winchester District Memorial Hospital,https://trilliumhealthpartners.ca/
525 Causley Street,Blind River,Blind River Site,https://trilliumhealthpartners.ca/
180 Richards Street,Richards Landing,Richards Landing Site,https://trilliumhealthpartners.ca/
135 Dawson Street,Thessalon,Thessalon Site,https://trilliumhealthpartners.ca/
6 Broomhead Road,Chapleau,Services De Sante De Chapleau Health Services,https://trilliumhealthpartners.ca/
241 Eighth Street,Cochrane,Lady Minto Hospital (The),https://trilliumhealthpartners.ca/
70 Spine Road,Elliot Lake,St. Joseph's General Hospital,https://trilliumhealthpartners.ca/
825 McKinnon Drive,Espanola,Espanola General Hospital,https://trilliumhealthpartners.ca/
1405 Edward Street,Hearst,Hôpital Notre-Dame Hospital (Hearst),https://trilliumhealthpartners.ca/
278 Front Street,Hornepayne,Hornepayne Community Hospital,https://trilliumhealthpartners.ca/
58 Anson Drive,Iroquois Falls,Anson General Hospital,https://trilliumhealthpartners.ca/
101 Progress Crescent,Kapuskasing,Sensenbrenner Hospital (The),https://trilliumhealthpartners.ca/
145 Government Road East,Kirkland Lake,Kirkland Lake Site,https://trilliumhealthpartners.ca/
61 Fifth Street,Englehart,Englehart Site,https://trilliumhealthpartners.ca/
11 Meredith Street West,Little Current,Little Current Hospital,https://trilliumhealthpartners.ca/
2120 ON-551,Mindemoya,Mindemoya Hospital,https://trilliumhealthpartners.ca/
1 Health Care Crescent,Manitouwadge,Santé Manitouwadge Health,https://trilliumhealthpartners.ca/
507 Eighth Avenue,Matheson,Bingham Memorial Hospital,https://trilliumhealthpartners.ca/
217 Turcotte Park Road,Mattawa,Mattawa General Hospital,https://trilliumhealthpartners.ca/
19 Hospital Drive,Moose Factory,Weeneebayko General Hospital,https://trilliumhealthpartners.ca/
972 Riverside East,Attawapiskat,Attawapiskat Hospital,https://trilliumhealthpartners.ca/
5 Percy's Way,Moosonee,Moosonee Health Centre,https://trilliumhealthpartners.ca/
5 Airport Road,Fort Albany,Fort Albany Hospital,https://trilliumhealthpartners.ca/
421 Shepherdson Road,New Liskeard,Temiskaming Hospital,https://trilliumhealthpartners.ca/
50 College Drive,North Bay,North Bay Site,https://trilliumhealthpartners.ca/
200-1164 Devonshire Avenue,North Bay,Devonshire Avenue Site,https://trilliumhealthpartners.ca/
120 King Street West,North Bay,King Street Site,https://trilliumhealthpartners.ca/
680 Kirkwood Drive,Sudbury,Kirkwood Place Site,https://trilliumhealthpartners.ca/
6 Albert Street,Parry Sound,West Parry Sound Health Centre,https://trilliumhealthpartners.ca/
750 Great Northern Road,Sault Ste. Marie,Sault Area Hospital,https://trilliumhealthpartners.ca/
107 Kelley Road,Smooth Rock Falls,Smooth Rock Falls Hospital,https://trilliumhealthpartners.ca/
725 Coursol Road,Sturgeon Falls,West Nipissing General Hospital,https://trilliumhealthpartners.ca/
41 Ramsey Lake Road,Sudbury,Ramsey Lake Health Centre,https://trilliumhealthpartners.ca/
1933 Regent Street,Sudbury,Children’s Treatment Centre,https://trilliumhealthpartners.ca/
680 Kirkwood Drive,Sudbury,Kirkwood Site,https://trilliumhealthpartners.ca/
1140 South Bay Road,Sudbury,South Bay Road site,https://trilliumhealthpartners.ca/
319 Lasalle Boulevard,Sudbury,Lasalle site,https://trilliumhealthpartners.ca/
700 Ross Avenue East,Timmins,Timmins And District General Hospital,https://trilliumhealthpartners.ca/
17 Government Road,Wawa,Lady Dunn Health Centre,https://trilliumhealthpartners.ca/
120 Dorothy Street,Atikokan,Atikokan Health and Community Services,https://trilliumhealthpartners.ca/
58 Goodall Street,Dryden,Dryden Regional Health Centre,https://trilliumhealthpartners.ca/
110 Victoria Avenue,Fort Frances,La Verendrye Hospital,https://trilliumhealthpartners.ca/
170 Front Street,Emo,Emo Health Centre,https://trilliumhealthpartners.ca/
115 Fourth Street,Rainy River,Rainy River Health Centre,https://trilliumhealthpartners.ca/
500 Hogarth Avenue West,Geraldton,Geraldton District Hospital,https://trilliumhealthpartners.ca/
21 Sylvan Street,Kenora,Lake-Of-The-Woods District Hospital,https://trilliumhealthpartners.ca/
1 Health Care Crescent,Manitouwadge,Santé Manitouwadge Health,https://trilliumhealthpartners.ca/
26 Peninsula Road,Marathon,Wilson Memorial General Hospital,https://trilliumhealthpartners.ca/
20B Cartier Road,Terrace Bay,McCausland Hospital (Terrace Bay),https://trilliumhealthpartners.ca/
125 Hogan Road,Nipigon,Nipigon District Memorial Hospital,https://trilliumhealthpartners.ca/
"No. 51, Hwy 105",Red Lake,Red Lake Margaret Cochenour Memorial Hospital (The),https://trilliumhealthpartners.ca/
1 Meno Ya Win Way,Sioux Lookout,Sioux Lookout Meno-Ya-Win Health Centre,https://trilliumhealthpartners.ca/
35 North Algoma Street,Thunder Bay,St. Joseph's Hospital,https://trilliumhealthpartners.ca/
980 Oliver Road,Thunder Bay,Thunder Bay Regional Health Sciences Centre,https://trilliumhealthpartners.ca/
"1453 Prince Road, Windsor, ON N9C 3Z4",Windsor,Hôtel-Dieu Grace Healthcare (Tayfour Campus),https://trilliumhealthpartners.ca/
"1995 Lens Avenue, Windsor, ON N8W 1L9",Windsor,Windsor Regional Hospital (Metropolitan Campus),https://trilliumhealthpartners.ca/
"1030 Ouellette Avenue, Windsor, ON N9A 1E1",Windsor,Windsor Regional Hospital (Ouellette Campus),https://trilliumhealthpartners.ca/
"3640 Wells Street, Windsor, ON N9C 1T9",Windsor,Windsor Regional Hospital (Maryvale Campus),https://trilliumhealthpartners.ca/
"270 Carling Terrace, Wingham, ON N0G 2W0",Wingham,Wingham And District Hospital,https://trilliumhealthpartners.ca/
"270 Riddell Street, Woodstock, ON N4S 6N6",Woodstock,Woodstock Hospital,https://trilliumhealthpartners.ca/
"600 University Avenue, Toronto, ON M5G 1X5",Toronto,Mount Sinai Hospital,https://www.sinaihealth.ca/our-hospitals/mount-sinai-hospital
501 Smyth Road,Ottawa,The Ottawa Hospital,https://www.ottawahospital.on.ca/en/
"399 Bathurst St, Toronto, ON, M5T 2S8, Canada",Toronto,"University Health Network, Toronto Western Hospital",https://www.saintalphonsus.org/location/saint-alphonsus-medical-center-ontario
131 Frederick Campbell Street,Fergus,Groves Memorial Community Hospital,https://premierehealthclinic.ca/
34A Commissioner St,Killarney,Killarney Health Centre,https://infinityhealthcentre.com/
"41 Ramsey Lake Road, Sudbury, Ontario, P3E 5J1",Sudbury,Health Sciences North,https://infinityhealthcentre.com/
"41 Ramsey Lake Road, Sudbury, Ontario, P3E 5J1",Sudbury,Ramsey Lake Health Centre,https://infinityhealthcentre.com/
"30 The Queensway, Ground Floor, East Wing, M6R 1B5",Toronto,St. Joseph’s Health Centre,https://www.ontario.ca/page/community-health-centres
"1 Meno Ya Win Way, Sioux Lookout, ON P8T 1B4",Sioux Lookout,Sioux Lookout Meno Ya Win Health Centre,https://coalitionottawa.ca/map/
"120 Dorothy St, Atikokan, ON P0T 1C0",Atikokan,Atikokan General Hospital,https://coalitionottawa.ca/map/
"58 Goodall St, Dryden, ON P8N 2Z6",Dryden,Dryden Regional Health Centre,https://coalitionottawa.ca/map/
"555 University Ave, Toronto, ON M5G 1X8",Toronto,Hospital for Sick Children (The),https://coalitionottawa.ca/map/
"21 Sylvan St W, Kenora, ON P9N 3W7",Kenora,Lake of The Woods District Hospital,https://coalitionottawa.ca/map/
"125 Hogan Rd, Nipigon, ON P0T 2J0",Nipigon,Nipigon District Memorial Hospital,https://coalitionottawa.ca/map/
"51 Hwy 105, Red Lake, ON P0V 2M0",Red Lake,Red Lake Margaret Cochenour Memorial Hospital,https://coalitionottawa.ca/map/
"110 Victoria Ave, Fort Frances, ON P9A 2B7",Fort Frances,Riverside Health Care,https://coalitionottawa.ca/map/
"35 Algoma St N, Thunder Bay, ON P7B 5G7",Thunder Bay,St Joseph's Care Group,https://coalitionottawa.ca/map/
"980 Oliver Rd, Thunder Bay, ON P7B 6V4",Thunder Bay,Thunder Bay Regional Health Sciences Centre - Hospital,https://coalitionottawa.ca/map/
"20B Cartier Rd, Box 370, Terrace Bay, ON P0T 2W0",Terrace Bay,McCausland Hospital (The),https://www.champlainhealthline.ca/listservices.aspx?id=10652
50 College Drive,North Bay,North Bay Regional Health Centre Emergency Department,https://www.champlainhealthline.ca/listServicesDetailed.aspx?id=10652&region=Ottawa
150 Sherway Drive,Toronto,Queensway Health Centre,https://connectingottawa.com/social-services/community-health-and-resource-centre/
"50 College Drive, P.O. Box 2500, North Bay, ON P1B 5A4",North Bay,North Bay Regional Health Centre (North Bay),https://rmh.org/
"680 Kirkwood Drive, Sudbury, ON P3E 1X3",Sudbury,North Bay Regional Health Centre (Sudbury Campus),https://rmh.org/
"Main Level, 24 Centennial Dr, PO Box 99, N0K 1W0",Seaforth,Seaforth Community Hospital,https://www.northernontariolocal.ca/l/on/hospitals
750 Great Northern Road,Sault Ste. Marie,Sault Area Hospital,https://www.cbc.ca/news2/health/features/ratemyhospital/hospitalratings.html
"750 Great Northern Road, P6B 0A8",Sault Ste Marie,Sault Area Hospital,https://www.cbc.ca/news2/health/features/ratemyhospital/hospitalratings.html
1017 Wilson Ave,North York,North York Medical Center,https://www.nipissingwellness.ca/partner-category/acute-care/
10 Angeline St. North,Lindsay,Ross Memorial Hospital,https://gmch.whca.ca/
30 The Queensway,Toronto,St. Joseph's Health Centre,https://www.southwesthealthline.ca/mapMultipleServices.aspx?id=10078
30 Bond St.,Toronto,St. Michael's Hospital,https://www.southwesthealthline.ca/mapMultipleServices.aspx?id=10078
3276 St. Clair Ave. East,Scarborough,Providence Healthcare,https://www.southwesthealthline.ca/mapMultipleServices.aspx?id=10078
"596 Davis Drive, Newmarket, Ontario L3Y 2P9",Newmarket,Southlake Hospital,https://news.ontario.ca/en/release/1001411/ontario-continues-to-add-hospital-beds-and-build-up-health-workforce
980 Oliver Road,Thunder Bay,Thunder Bay Regional Health Sciences Centre,https://www.hqontario.ca/System-Performance/Yearly-Reports/Measuring-Up-2019/Value-and-Efficiency
30 The Queensway,Toronto,St. Joseph's Health Centre,https://211ontario.ca/service/69798022/eglinton-station-medical-centre-walk-in-clinic-and-family-medicine/
"Floor 1, Toronto General Hospital, 585 University Ave",Toronto,Princess Margaret Cancer Centre,https://www.torontocentralhealthline.ca/displayservice.aspx?id=170578
585 University Ave,Toronto,Toronto General Hospital,https://www.torontocentralhealthline.ca/displayservice.aspx?id=170578
825 Coxwell Ave,East York,Michael Garron Hospital,https://www.torontocentralhealthline.ca/displayservice.aspx?id=170578
"1605 Orleans Boulevard, Unit 3a",Orleans,Chapel Hill Health Centre,https://dfcm.utoronto.ca/unity-health-toronto-st-josephs-health-centre
30 Bond Street,Toronto,St. Michael's Hospital,https://211central.ca/record/69798022/
"700 Coronation Blvd, N1R 3G2",Cambridge,Cambridge Memorial Hospital,https://m.yelp.com/search?find_desc=walk+in+clinic&find_loc=Metropolitan+Toronto+Police+Museum+and+Discovery+Centre%2C+40+College+St%2C+Toronto%2C+ON
401 Smyth Road,Ottawa,CHEO (Children's Hospital of Eastern Ontario),https://www.shchc.ca/contact-us
"401 Smyth Road, Ottawa ON K1H 8L1",Ottawa,Children's Hospital of Eastern Ontario (CHEO),https://www.shchc.ca/contact-us
"499 Raglan Street North, Renfrew ON H7V 1P6",Renfrew,Renfrew Victoria Hospital,https://www.shchc.ca/contact-us
"237 Barton St E Hamilton, ON L8L 2X2",Hamilton,Hamilton General Hospital,https://www.centretownchc.org/contact
"699 Concession Street Hamilton, ON L8V 5C2",Hamilton,Juravinski Cancer Centre,https://www.centretownchc.org/contact
711 Concession Street,Hamilton,Juravinski Hospital,https://www.centretownchc.org/contact
1200 Main St W,Hamilton,McMaster Children’s Hospital,https://www.centretownchc.org/contact
"1200 Main St W Hamilton, ON L8N 3Z5",Hamilton,McMaster University Medical Centre,https://www.centretownchc.org/contact
"300 Wellington St N Hamilton, Ontario L8L 0A4",Hamilton,Regional Rehabilitation Centre,https://www.centretownchc.org/contact
"325 Wellington St N Hamilton, ON L8L 0A4",Hamilton,Ron Joyce Children’s Health Centre,https://www.centretownchc.org/contact
"150 King Street East Hamilton, ON L8N 1B2",Hamilton,Satellite Health Facility,https://www.centretownchc.org/contact
"88 Maplewood Avenue Hamilton, ON L8M 1W9",Hamilton,St. Peter’s Hospital,https://www.centretownchc.org/contact
"690 Main Street West Hamilton, ON L8S 1A4",Hamilton,West End Clinic/Urgent Care Centre,https://www.centretownchc.org/contact
169 Main Street East,Grimsby,West Lincoln Memorial Hospital,https://www.centretownchc.org/contact
"500 Hogarth Ave. W, Postal Bag #4",Geraldton,Geraldton District Hospital,https://lignesantechamplain.ca/displayService.aspx?id=211902
725 Bronte Street South,Milton,Milton District Hospital,https://www.northeasthealthline.ca/listservices.aspx?id=10077
"550 N Monterey Avenue, Ontario, CA 91764",Ontario,Kindred Hospital Ontario,https://hsnsudbury.ca/en/emergency
169 Main Street East,Grimsby,West Lincoln Memorial Hospital,https://tbrhsc.net/programs-services/emergency-critical-care-services/emergency-and-critical-care-services/
"98 Shipley Street, ON N0M 1L0",Clinton,Clinton Public Hospital,https://northbayemerg.ca/
"267 Queen Street West, P.O. Box 940, ON N4X 1B6",St. Marys,St. Marys Memorial Hospital,https://northbayemerg.ca/
"24 Centennial Drive, P.O. Box 99, ON N0K 1W0",Seaforth,Seaforth Community Hospital,https://northbayemerg.ca/
"46 General Hospital Drive, ON N5A 2Y6",Stratford,Stratford General Hospital,https://northbayemerg.ca/
98 Shipley St.,Clinton,Clinton Public Hospital,https://northbayemerg.ca/
267 Queen St. W.,St Marys,St Marys Memorial Hospital,https://northbayemerg.ca/
24 Centennial Dr.,Seaforth,Seaforth Community Hospital,https://northbayemerg.ca/
46 General Hospital Dr.,Stratford,Stratford General Hospital,https://northbayemerg.ca/
"61 Fifth St, Englehart, ON P0J 1H0",Englehart,Blanche River Health - Englehart Site - Emergency Department,https://211ontario.ca/results/?searchLocation=Greater+Sudbury&topicPath=95&latitude=46.4917317&longitude=-80.993029
