Address,City,Name,Phone Number,source_url
"4961 Highway 7, Unit 100/101, Markham, Ontario L3R 1N1",Markham,Job Skills,905-948-9996,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"155 Riverglen Drive, Unit 7, Keswick, Ontario L4P 3M3",Keswick,Job Skills,905-476-8088,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"70 Innovator Avenue, Unit 5, Stouffville, Ontario L4A 0Y2",Stouffville,Job Skills,905-640-3909,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"144 Pitt Street, Cornwall, Ontario K6J 3P4",Cornwall,Job Zone d’emploi – Stormont,613-933-9675,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"74 Tycos Drive, Toronto, Ontario M6B 1V9",Toronto,JVS Toronto,416-787-1151,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1280 Finch Avenue West, Suite 607, Toronto, Ontario M3J 3K6",Toronto,JVS Toronto,416-661-3010,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"2868 Ellesmere Road, Scarborough, Ontario M1E 4B8",Scarborough,JVS Toronto,416-123-4567,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1911 Finch Avenue West, Unit 3, North York, Ontario M3N 2V2",North York,JVS Toronto,416-636-2481,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"184 Front Street East, Suite 203, Toronto, Ontario M5A 4N3",Toronto,JVS Toronto,416-929-4331,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"30 Karachi Drive, Unit 66, Markham, Ontario L3S 0B6",Markham,JVS Toronto,905-470-9675,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"375 William Street S, Gananoque, Ontario K7G 1T2",Gananoque,KEYS Employment and Newcomer Services – Gananoque,613-382-1085,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"2 Lansing Square, Suite 506, Toronto, Ontario M2J 4P8",Toronto,LDATD (Learning Disabilities Association of Toronto District),416-224-5150,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"7 Bayview Station Road, Ottawa, Ontario K1Y 3B5",Ottawa,LiveWorkPlay,613-235-9550,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"99 Duncan Mill Road, Toronto, Ontario M3B 1Z2",Toronto,March of Dimes Canada,416-425-3463,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"91 Cornelia Street West, Suite A7, Smiths Falls, Ontario K7A 5L3",Smiths Falls,March of Dimes Canada,613-549-4141,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"117 Centrepointe Drive, Suite 250, Ottawa, Ontario K2G 5X3",Ottawa,March of Dimes Canada,613-596-3463,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"2227 South Millway, Suite 201, Mississauga, Ontario L5L 3R6",Mississauga,March of Dimes Canada,905-607-3463,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"13311 Yonge Street, Suite 202, Richmond Hill, Ontario L4E 3L6",Richmond Hill,March of Dimes Canada,905-895-7529,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"21 Park Road, Toronto, Ontario M4W 2N1",Toronto,Margaret’s Housing and Community Support Services,416-463-1481,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"3195 Sheppard Avenue East, Unit 1A, Toronto, Ontario M1T 3K1",Toronto,Operation Springboard,416-849-4421,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"150 Elgin Street, Ottawa, Ontario K2P 1L4",Ottawa,Performance Plus Rehabilitative Care Inc. – Ottawa (Head Office),613-748-3220 Ext. 2220,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"90 Burnhamthorpe Road West, Unit #1400, Mississauga, ON L5B 0H9",Mississauga,RNC Employment Services,905-696-9952,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"7900 Hurontario Street, Suite 202, Brampton, L6Y OP6",Brampton,The Bennett Edge,905-459-4060,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"2100 Lawrence Avenue W, Suite 103, York, Ontario M9N 3W3",York,The Career Foundation,416-243-0066,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"2437 Kingston Road, Suite 102, Scarborough, Ontario M1N 1V4",Scarborough,The Career Foundation,416-264-2100,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"52 Village Centre Place Mississauga, Unit 100, Ontario L4Z 1V9",Mississauga,The Job Centre,905-842-8787,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1415 Bathurst Street Toronto, Ontario M5R 3H8",Toronto,The Neighbourhood Group Community Services (TNGCS),416-925-2103 Extension 4000,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"219 Dufferin Street, Building 201, Suite 1C, Toronto, Ontario M6K 3J1",Toronto,WoodGreen,416-645-6000,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1610 Bloor Street West, Toronto, Ontario M6P 1A7",Toronto,Youth Employment Services (YES),416-535-8448,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1355 Bank Stret, Unit 703, Ottawa, Ontario K1H 8K7",Ottawa,Youth Services Bureau,613-236-8244,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"898 College St, Toronto ON M6H1A4",Toronto,Gyro City,+1 (647) 340-8001,https://nohfc.ca/ontario-investing-over-15-6-million-to-help-job-seekers-in-northeastern-ontario-start-their-careers/
"29 Queen Street North, Mississauga, ON, Canada",Mississauga,Mississauga Catering Service,647-231-7031,https://gezhtoojig.ca/
"655 Bay Street, Suite 1500, Toronto, ON M5G 1E5",Toronto,Ontario Land Tribunal,"416-212-6349, 1-866-448-2248",https://employnext.ca/
"180 Kent Street, Suite 1100, Ottawa, ON K1P 0B6",Ottawa,"Housing, Infrastructure and Communities Canada — Communications Branch",613-948-1148,https://www.thearcontario.org/career-services
"10 Peel Centre Dr., Suite B, 6th Floor, Brampton, ON L6T 4B9",Brampton,Peel Region - Accessibility Planning Program,Toll-free 1-888-191-7800; 905-791-7800,https://www.communitylivingbc.ca/resources/aging-knowledge-hub/communication-alternative-assistive-technology/
"80 Galaxy Blvd, Unit 4, Toronto, ON M9W 4Y8",Toronto,Beretta Kitchen,416-674-5609 ext 225,https://supportpoint.au/ndis-services-for-first-nations-people/
216 Ontario Street,Kingston,City of Kingston,613-546-0000,https://www.ndisreview.gov.au/resources/fact-sheet/first-nations-communities
"365 Bloor Street East Suite 902, Toronto, Ontario M4W 3L4",Toronto,Centre for Independent Living in Toronto (CILT),(416) 599-2458,https://www.ontario.ca/page/accessibility-in-ontario
"1550 Upper James Street, Unit 14 A, L9B 2L6",Hamilton,Special Supports Program - Ontario Works Mountain Office,905-546-2590,https://peelregion.ca/about/peel-region-2024-accessibility-status-report
"Georgetown, Ontario",Georgetown,Elwood Catering,647-450-8455,https://bigcitycatering.ca/the-power-of-corporate-catering-toronto/
"77722D London Road, Clinton, Ontario N0M 1L0",Clinton,Huron County Housing Corporation,519.482.8505,https://180drinks.ca/catering-delivery/
"Box 122, RR 1, Wroxeter, Ontario N0G 2X0",Wroxeter,Belmore Non-Profit Housing Corporation,519.392.8117,https://180drinks.ca/catering-delivery/
"Unit 35-80 Balvina Drive, Goderich, Ontario N7A 4L8",Goderich,Huron Sands Non-Profit Homes Incorporated,519.524.5763,https://180drinks.ca/catering-delivery/
"198-12th Street, RR 5, Clinton, Ontario N0M 1L0",Clinton,Vanastra Lions Club Apartments Incorporated,519.482.7826,https://180drinks.ca/catering-delivery/
"1-51 Church Street, Exeter, Ontario N0M 1S2",Exeter,Exandarea Meadows Housing Co-operative Incorporated,519.235.3382,https://180drinks.ca/catering-delivery/
"376 Huron Road, Goderich, Ontario",Goderich,Huron Women's Shelter,519.524.5333,https://180drinks.ca/catering-delivery/
"1 Courthouse Square, Goderich, Ontario N7A 1M2",Goderich,County of Huron,519.524.8394,https://180drinks.ca/catering-delivery/
"West Queen Street West, Toronto, ON, Canada",Toronto,GREEK&CO,647-640-5883,https://honeybeemeals.com/
"69 Flatt Road, Burlington ON L7P 0T3",Burlington,Woodview Mental Health and Autism Services,905 689 4727,https://www.jvstoronto.org/find-a-job/disability-employment-services/
"935 Ramsey Lake Rd, Sudbury, ON, P3E 2C6",Sudbury,"Centre for Rural and Northern Health Research, Laurentian University",1 705 675 1151 ext 4171,https://www.canada.ca/en/employment-social-development/corporate/seniors-forum-federal-provincial-territorial/core-community-supports.html
"2490 Kingston Rd., Toronto, ON",Toronto,Kiss the Cook Catering,+1 416 264-4040,https://www.huroncounty.ca/social-services/housing-and-homelessness/
"140 Government Rd East, Kirkland Lake, ON P2N 3L8",Kirkland Lake,Kirkland Lake Area,705-567-9238,https://www.sac-isc.gc.ca/eng/1565786653117/1565786690869
"290 Armstrong St., New Liskeard, ON P0J 1P0",New Liskeard,Temiskaming Shores,705-672-5244,https://www.sac-isc.gc.ca/eng/1565786653117/1565786690869
"130 Spruce St S, Suite #2, Timmins, ON P4N 2M5",Timmins,Timmins Area,705-268-3033,https://www.sac-isc.gc.ca/eng/1565786653117/1565786690869
"24 First Street, Moosonee, ON P0L 1Y0",Moosonee,Moosonee & James Bay Area,705-336-2913 ext 5629,https://www.sac-isc.gc.ca/eng/1565786653117/1565786690869
"300-192 Spadina Avenue, Toronto, Ontario M5T 2C2",Toronto,Ontario Presents,416-703-6709,http://www.ontario.ca/page/published-plans-and-annual-reports-2024-2025-ministry-health
"5200 Dixie Rd #6, Mississauga, ON L4W 1E4",Mississauga,On The Move Catering & Events,(905) 615-9957,http://www.ontario.ca/document/ontario-disability-support-program-policy-directives-income-support/912-mandatory-special
"970 Lawrence Ave. West, Suite 210, Toronto, ON M6A 3B6",Toronto,PACE Independent Living,416-789-7806,https://www.datacaptive.com/canada-email-lists/toronto-business-email-list/
"3071 County Complex Drive, Canandaigua Historic District, NY, 14424, United States",Canandaigua,The Arc Ontario,(585) 394-7500,https://pmc.ncbi.nlm.nih.gov/articles/PMC10164231/
225 Queen Street East,Toronto,Anishnawbe Health Toronto,416-360-0486,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
179 Gerrard Street East,Toronto,Anishnawbe Health Toronto,416-920-2605,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
213 Carlton Street,Toronto,Anishnawbe Health Toronto,416-657-0379,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
130 Wilson Avenue,Timmins,Misiway Milopemahtesewin,705-264-2200,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
"125 Bell Farm Road, Suite 200",Barrie,Mamaway Wiidokdaadwin (Barrie Clinic),705-503-9554,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
"210 Memorial Drive, Unit 112",Orillia,Mamaway Wiidokdaadwin (Orillia Clinic),705-259-9520,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
200 Anemki Place,Fort William First Nation,Dilico Anishinabek Family Care Primary Care Health Team,807-623-8511,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
233 South Court Street,Thunder Bay,Matawa Health Cooperative Inc. Indigenous Interprofessional Primary Care Team,807-346-2370,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
PO Box 721,Deseronto,Tsi Kanonhkhwatsheriyo IIPCT,343-478-0196,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
1040 Brookes Street,North Bay,North Bay Indigenous Interprofessional Primary Care Team,705-995-0060,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
61 Queen Street,Sioux Lookout,Sioux Lookout Area Primary Care Team,807-737-1802,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
"207 6th Street, Unit 3",Cochrane,Sweetgrass Health Centre,705-913-2043,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
421 Shepherdson Road,Temiskaming,Mino M’Shki-ki Indigenous Health Care Team,705-647-7855,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/301161.pdf
"11th Floor, 119 King Street West, Hamilton, Ontario L8P 4Y7",Hamilton,"Long-Term Care Inspections Branch, Long-Term Care Homes Division, Ministry of Long-Term Care",1-866-434-0144,https://www.leedsgrenville.com/en/long-term-care/resources/Documents/A-guide-to-programs-services-for-seniors-WEB-2022-03-24.pdf
"99 Foster Drive, Sault Ste. Marie, ON",Sault Ste. Marie,Lifespan Accessibility Centre,705-541-7310,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"205 McNabb Street, Sault Ste. Marie, ON",Sault Ste. Marie,Algoma Family Services,705-945-5050,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"Dennis St., Sault Ste. Marie, ON",Sault Ste. Marie,Algoma Youth Wellness Hub,705-945-5051,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"662 Falconbridge Road, Sudbury, ON",Sudbury,Child and Community Resources,1-877-996-1599,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"99 Northern Avenue East, Sault Ste. Marie, ON",Sault Ste. Marie,Community Living Algoma,705-253-1700,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"240 McNabb Street, Sault Ste. Marie, ON",Sault Ste. Marie,Group Health Centre,705-759-1234,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"199 Larch Street, 10th Floor, Suite 1002, Sudbury, ON",Sudbury,Special Services at Home (SSAH) - North Region,705-564-4515,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"74 Johnson Avenue, Sault Ste. Marie, ON",Sault Ste. Marie,Thrive Child Development Centre,705-759-1131 x 2,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"681 Queen Street East, Sault Ste. Marie, ON",Sault Ste. Marie,Cho Family Dentistry,705-910-0987,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"432 Great Northern Road, Suite 101, Sault Ste. Marie, ON",Sault Ste. Marie,Northern Dental Care,705-575-7572,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"683A Great Northern Road, Suite 3A, Sault Ste. Marie, ON",Sault Ste. Marie,Sophie's Oral Hygiene Care,705-949-6141,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"443 Northern Avenue East, P6B 4J3",Sault Ste. Marie,Community Integration Through Co-Op Education,705-759-2554,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"147 Gore Street, P6A 1L9",Sault Ste. Marie,Grocer 4 Good,705-255-0445,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"550 Queen St W, Suite 103, P6A 1A6",Sault Ste. Marie,March of Dimes Employment Services,705-945-1044,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"477 Queen Street East, Suite 203, P6A 1Z5",Sault Ste. Marie,Sault College Youth Job Connection,705-945-0705,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
