Address,City,Name,Phone Number,source_url
"20 May Street South, P.O. Box 38, New Liskeard, ON P0J 1P0",New Liskeard,Centre de santé communautaire du Témiskaming,705-647-5775,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"19th Street, Earlton, ON P0J 1E0",Earlton,Centre de santé communautaire du Témiskaming – Earlton,705-563-8110,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"P.O. Box 40, 22 Water Street, Kirkland Lake, ON P2N 3M6",Kirkland Lake,Centre de santé communautaire du Témiskaming – Kirkland Lake,705-567-1414,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"15 Godfrey, Larder Lake, ON P0K 1L0",Larder Lake,Centre de santé communautaire du Témiskaming – Larder Lake,705-643-2442,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"61 Connel Street, Virginiatown, ON P0K 1X0",Virginiatown,Centre de santé communautaire du Témiskaming – Virginiatown,705-634-2223,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"555 rue Richmond Ouest, Suite 303, Toronto, ON M5V 3B1",Toronto,Centre Francophone de Toronto,416-922-2672,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"420 Cooper Street, Ottawa, ON K2P 2N6",Ottawa,Centretown Community Health Centre,613-233-4443,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"150 Richmond Street, Chatham, ON N7M 1N9",Chatham,Chatham-Kent Community Health Centres,519-397-5455,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"287 Bayshore Drive, Midland, ON L4R 0H1",Midland,CHIGAMIK Community Health Centre,705-527-4154,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1400 Windsor Avenue, Windsor, ON N8X 3L9",Windsor,CMHA Health Centre,519-971-0116,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"152 Angeline Street North, Lindsay, ON K9V 4X2",Lindsay,Community Care City of Kawartha Lakes,705-324-7323,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"438 Hughson Street North, Hamilton, ON L8L 4N5",Hamilton,Compass Community Health Centre,905-523-6611,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"20 Robertson Drive, Beachburg, ON K0J 1C0",Beachburg,ConnectWell Community Health – Beachburg Site,613-582-3685,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"207 Robertson Drive, Lanark, ON K0G 1K0",Lanark,ConnectWell Community Health – Lanark Site,613-259-2182,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"4319 Cove Road at Hwy 15, P.O. Box 58, Portland, ON K0G 1V0",Portland,Country Roads Community Health Centre,613-272-3302 Ext 242,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"79 Bedford Street, Westport, ON K0G 1X0",Westport,Country Roads Community Health Centre – Westport,613-273-3302 Ext 242,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1900 Davenport Road, Toronto, ON M6N 1B7",Toronto,Davenport-Perth Neighbourhood and Community Health Centre,416-656-8025,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1619 Queen Street East, Toronto, ON M4L 1G4",Toronto,East End Community Health Centre,416-778-5858,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"2555 Dixie Road, Unit 7, Mississauga, ON L4Y 4C4",Mississauga,East Mississauga Community Health Centre (Satellite of Lamp CHC),905-602-4082,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"10 Gateway Boulevard, Toronto (Don Mills), ON M3C 3A1",Toronto,Flemingdon Health Centre,416-429-4991,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"5 Fairview Mall Drive, Suite 359, Toronto, ON M2J 2Z1",Toronto,Flemingdon Health Centre - Fairview Community Health,416-640-5298,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"41 McClellan Street, Post Box 99, Tweed, ON K0K 3J0",Tweed,Gateway Community Health Centre,613-478-1211,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"69 Main Street East, P.O. Box 1269, Grand Bend, ON N0M 1T0",Grand Bend,Grand Bend Area Community Health Centre Inc.,519-238-2362,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"122 King Street, Box 159, Hensall, ON N0M 1X0",Hensall,Grand Bend Area Community Health Centre – Hensall,519-262-3140,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"99 Victoria Street, Box 9, Thedford, ON N0M 2N0",Thedford,Grand Bend Area Community Health Centre – Thedford,519-296-0117,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"363 Colborne Street, Brantford, ON N3S 3N2",Brantford,Grand River Community Health Centre,519-754-0777,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"176 Wyndham Street North, Guelph, ON N1H 8N9",Guelph,Guelph Community Health Centre,519-821-6638,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1320 Barton Street East, Hamilton, ON L8H 2W1",Hamilton,Hamilton-Niagara Community Health Centre – Hamilton Site,905-528-0163,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"810 East Main Street, Welland, ON L3B 3Y4",Welland,Hamilton-Niagara Community Health Centre – Welland Site,905-734-1141,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"181 Main Street West, Hamilton, ON L8P 4Y4",Hamilton,Hamilton Urban Core Community Health Centre,905-522-3433,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"263 Weller Avenue, Unit 4, Kingston, ON K7K 2V4",Kingston,Kingston Community Health Centres,613-542-2949,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"26 Dundas Street West, Napanee, ON K7R 1Z4",Napanee,Kingston Community Health Centres – Greater Napanee Health Home,613-354-8937,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"115 Barrack Street, Kingston, ON K7K 1G2",Kingston,Kingston Community Health Centres – Street Health Centre,613-549-1440,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"791 Princess Street, Suite 201, Kingston, ON K7L 1E9",Kingston,Kingston Community Health Centres – Midtown Kingston Health Home,613-542-6793,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"44 Francis Street South, Kitchener, ON N2G 2A2",Kitchener,Kitchener Downtown Community Health Centre,519-745-4404,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1145 Concession Road, Cambridge, ON N3H 4L5",Cambridge,Langs,519-653-1470,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"2958 Greenfield Road, Ayr, ON N0B 1E0",Ayr,Langs – North Dumfries Community Health Centre Satellite,519-632-1229,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1700 Dundas Street, Unit 1, London, ON N5W 3C9",London,London Intercommunity Health Centre – Argyle Site,519-660-5853,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"659 Dundas Street East, London, ON N5W 2Z1",London,London InterCommunity Health Centre - Dundas Site,519-660-0874,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"Huron Heights Plaza, 1355 Huron Street, Unit 7, London, ON N5V 1R9",London,London Intercommunity Health Centre – Huron Site,519-659-6399,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1100 Main Street, P.O. Box 450, Ignace, ON P0T 1T0",Ignace,Mary Berglund Community Health Centre,807-934-2251,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"130 Wilson Avenue, Timmins, ON P4N 2S9",Timmins,Misiway Milopemahtesewin Community Health Centre,705-264-2200,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"4790 Victoria Avenue, Niagara Falls, ON L2E 4C2",Niagara Falls,Niagara Falls Community Health Centre,905-356-4222,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"99 Toronto Road, Port Hope, ON L1A 3S4",Port Hope,Northumberland Community Health Centre,905-885-2626,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"P.O. Box 1120, 3-59 King Street West, Forest, ON N0N 1J0",Forest,North Lambton Community Health Centre,519-786-4545,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"6275 Indian Lane, RR #2, Kettle Point, ON N0N 1J1",Kettle Point,North Lambton Community Health Centre – Kettle Point,519-786-7200,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"429 Exmouth Street, Suite 100, Sarnia, ON N7T 5P1",Sarnia,North Lambton Community Health Centre – West Lambton Community Health Centre,519-344-3017,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"525 Simpson Street, Thunder Bay, ON P7C 3J6",Thunder Bay,NorWest Community Health Centres,807-622-8235,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"P.O. Box 104, Armstrong, ON P0T 1A0",Armstrong,Norwest Community Health Centres – Armstrong,807-583-1145,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"99 Skinner Avenue, P.O. Box 910, Longlac, ON P0T 2A0",Longlac,Norwest Community Health Centres – Longlac,807-876-2271,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"96 Tillson Avenue, Tillsonburg, ON N4G 3A1",Tillsonburg,Oxford County Community Health Centre – Tillsonburg Point of Access Livingston Centre,519-842-9008,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"4100 Strandherd Drive, Suite 201, Nepean, ON K2J 0V2",Nepean,Pinecrest-Queensway Community Health Centre – South Nepean Community Health Centre,613-288-2820,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"203-1365 Richmond Road, Ottawa, ON K2B 6R7",Ottawa,Pinecrest-Queensway Health and Community Services,613-820-2001,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"36B Prince Arthur Avenue, Toronto, ON M5R 1A9",Toronto,Planned Parenthood of Toronto,416-961-0113,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"145 Queenston Street, Suite 100, St. Catharines, ON L2R 2Z9",St. Catharines,Quest Community Health Centre,905-688-2558,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"49 Mill Street, Killaloe, ON K0J 2A0",Killaloe,Rainbow Valley Community Health Centre,613-757-0004,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"465 Dundas Street East, Toronto, ON M5A 2B2",Toronto,Regent Park Community Health Centre,416-364-2261,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"8 Taber Road, Etobicoke, ON M9W 3A4",Etobicoke,Rexdale Community Health Centre,416-744-0066,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"609 The East Mall, Unit 32, Etobicoke, ON M9B 4A4",Etobicoke,Rexdale Community Health Centre – Burnhamthorpe 427 Community Centre,416-621-2515,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"21 Panorama Court, Unit 15, Toronto, ON M9V 4E3",Toronto,Rexdale Community Health Centre – Jamestown Hub,647-744-0066,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"354 Read Street, P.O. Box 550, Merrickville, ON K0G 1N0",Merrickville,Rideau Community Health Services,613-269-3400,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"2 Carlton Street, Suite 701",Toronto,Advocacy Centre for the Elderly,416-598-2656,https://www.practicepro.ca/wp-content/uploads/2017/06/2007-01-backup-capacity.pdf
"595 Bay Street, Suite 800, Toronto, ON M5G 2M6",Toronto,CAO,1-866-521-1033,https://www.publications.gov.on.ca/store/20170501121/Free_Download_Files/300631.pdf
"10 George Street, Suite 205, Ontario, Canada L8P 1C8",Hamilton,Quality Improvement & Innovation Partnership,905-667-0770,https://www.hqontario.ca/portals/0/documents/qi/qi-rg-needs-assessment-0901-en.pdf
"353 Pitt Street, Cornwall, ON K6J 3R1",Cornwall,Seaway Valley Community Health Centre,613-936-0306,https://seawayvalleychc.ca/wp-content/uploads/2021/11/Policy-Handbook-Seaway-Valley-Community-Health-Centre-1.pdf
"P.O. Box 2675, Harrisburg, Pennsylvania 17105-2675",Harrisburg,Department of Human Services Office of Administration Bureau of Program Integrity Division of Program and Provider Compliance Recipient Restriction Section,(717) 772-4627,https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/providers/providers/documents/managed-care-information/2026-healthchoices-agreement-including-exhibits-and-non-rate-financial-appendices-draft.pdf
"Room 1311, Strawberry Square, Harrisburg, PA 17120",Harrisburg,"Pennsylvania Insurance Department Bureau of Health Coverage Access, Administration and Appeals",1-877-881-6388,https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/providers/providers/documents/managed-care-information/2026-healthchoices-agreement-including-exhibits-and-non-rate-financial-appendices-draft.pdf
"P.O. Box 2675, Harrisburg, Pennsylvania 17105-2675",Harrisburg,"Department of Human Services OMAP – HealthChoices Program Complaint, Grievance and Fair Hearings",1-717-772-6328,https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/providers/providers/documents/managed-care-information/2026-healthchoices-agreement-including-exhibits-and-non-rate-financial-appendices-draft.pdf
16 Magician Ave.,Ottawa,Assessing Capacity for Admission to Long-Term Care Homes,(613) 555-5555,https://collegeofdietitians.org/wp-content/uploads/2024/06/ConsentandCapacityTrainingManual.pdf
"661 University Avenue, Suite 1701",Toronto,Public Health Ontario,1.877.543.8931,https://www.publichealthontario.ca/-/media/Documents/W/26/workforce-capacity-emergency-management.pdf
"211 Pritchard Rd., Unit #1, Hamilton, ON L8J 0G5",Hamilton,Home and Community Care Support Services,310-2222 (TTY 711),https://www.ontariohealthathome.ca/blobohahprod4cd80afe1b/wp-content/uploads/2025/07/HCCSS-2023-2024-OHaH-2024-2025-Annual-Report-EN.pdf
"615 E Houston ST. #347, San Antonio, TX 78205",San Antonio,Opportunity Home,(210) 475-6800,https://homesa.org/wp-content/uploads/2023/07/FY23-24ACOP.pdf
"Hipolito Garcia Federal Building, 615 East Houston Street, Suite 347, San Antonio, TX 78205-2001",San Antonio,San Antonio HUD Field Office,210-475-6806,https://homesa.org/wp-content/uploads/2023/07/FY23-24ACOP.pdf
