Address,City,Name,Website,source_url
"100 Queensway West, Mississauga, ON L5B 1B8",Mississauga,Mississauga Hospital,https://www.ontario.ca/page/general-hospital-locations,https://www.ontario.ca/page/general-hospital-locations
"150 Sherway Drive, Toronto, ON M9C 1A5",Toronto,Queensway Health Centre (Toronto),https://www.ontario.ca/page/general-hospital-locations,https://www.ontario.ca/page/general-hospital-locations
"3001 Hospital Drive, Oakville, ON L6M 0L8",Oakville,Oakville Trafalgar Memorial Hospital,https://www.ontario.ca/page/general-hospital-locations,https://www.ontario.ca/page/general-hospital-locations
"725 Bronte Street South, Milton, ON L9T 9K1",Milton,Milton District Hospital,https://www.ontario.ca/page/general-hospital-locations,https://www.ontario.ca/page/general-hospital-locations
"22 Moore St, Lion's Head, ON N0H 1W0",Lion's Head,Brightshores Health System - Lion's Head Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"220 Toronto St S, Markdale, ON N0C 1H0",Markdale,Brightshores Health System - Markdale Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"229 Nelson St W, Meaford, ON N4L 1A3",Meaford,Brightshores Health System - Meaford Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"1800 8th St E, Box 1800, Owen Sound, ON N4K 6M9",Owen Sound,Brightshores Health System - Owen Sound Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"340 High St, Southampton, ON N0H 2L0",Southampton,Brightshores Health System - Southampton Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"369 Mary St, Wiarton, ON N0H 2T0",Wiarton,Brightshores Health System - Wiarton Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"800 Commissioners Rd E, London, ON N6A 5W9",London,Children's Hospital London Health Sciences Centre,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"98 Shipley St, Clinton, ON N0M 1L0",Clinton,Clinton Public Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"1824 Concession Dr, Newbury, ON N0L 1Z0",Newbury,Four Counties Health Services,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"90 7th Ave, Hanover, ON N4N 1N1",Hanover,Hanover and District Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"120 Napier St, Goderich, ON N7A 1W5",Goderich,Huron Health System - Alexandra Marine and General Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"24 Huron St W, Exeter, ON N0M 1S2",Exeter,Huron Health System - South Huron Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"255 Elizabeth St E, Listowel, ON N4W 2P5",Listowel,Listowel Memorial Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"339 Windermere Rd, London, ON N6A 5A5",London,London Health Sciences Centre - University Hospital,https://www.southwesthealthline.ca/listservices.aspx?id=10078,https://www.southwesthealthline.ca/listservices.aspx?id=10078
"200 Elizabeth Street, Toronto, ON M5G 2C4",Toronto,Toronto General Hospital,https://www.uhn.ca/OurHospitals/TGH,https://www.uhn.ca/OurHospitals/TGH
"30 The Queensway, Toronto, ON M6R 1B5",Toronto,St. Joseph's Health Centre,https://unityhealth.to/,https://unityhealth.to/
